row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dưvốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tưphát triển,Vốn khác thuộcchủ sở hữu,Lợi nhuận sau thuếchưa phân phối,Lợi ích cổ đôngkhông kiểm soát,VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thặng dưvốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tưphát triển,numeric__Vốn khác thuộcchủ sở hữu,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__Lợi ích cổ đôngkhông kiểm soát,numeric__VNDTổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,5.200.346.670.000,10.677.980.806,(2.500.560.000),82.466.447.657,21.830.490.000,841.362.107.719,2.929.857.563.492,9.084.040.699.674,5200346670000.0,10677980806.0,-2500560000.0,82466447657.0,21830490000.0,841362107719.0,2929857563492.0,9084040699674.0
Tăng vốn từ lợi nhuậnsau thuế (*),Năm nay > Tăng vốn từ lợi nhuậnsau thuế (*),Tăng vốn từ lợi nhuậnsau thuế (*),777.383.810.000,-,-,-,-,(777.383.810.000),-,-,777383810000.0,,,,,-777383810000.0,,
Góp vốn của cổ đôngkhông kiểm soát,Năm nay > Góp vốn của cổ đôngkhông kiểm soát,Góp vốn của cổ đôngkhông kiểm soát,-,-,-,-,-,-,338.904.293.377,338.904.293.377,,,,,,,338904293377.0,338904293377.0
Cổ tức bằng cổ phiếu từcộng ty con,Năm nay > Cổ tức bằng cổ phiếu từcộng ty con,Cổ tức bằng cổ phiếu từcộng ty con,-,-,-,-,10.200.000.000,(10.200.000.000),-,-,,,,,10200000000.0,-10200000000.0,,
Cổ tức trả cho cổ đôngkhông kiểm soát,Năm nay > Cổ tức trả cho cổ đôngkhông kiểm soát,Cổ tức trả cho cổ đôngkhông kiểm soát,-,-,-,-,-,-,(299.584.899.805),(299.584.899.805),,,,,,,-299584899805.0,-299584899805.0
Lợi nhuận thuàntrong năm,Năm nay > Lợi nhuận thuàntrong năm,Lợi nhuận thuàntrong năm,-,-,-,-,-,1.157.260.328.331,437.795.977.004,1.595.056.305.335,,,,,,1157260328331.0,437795977004.0,1595056305335.0
"Trích quỹ khen thưởng,phúc lợi","Năm nay > Trích quỹ khen thưởng,phúc lợi","Trích quỹ khen thưởng,phúc lợi",-,-,-,-,-,(38.379.416.597),(35.110.160.261),(73.489.576.858),,,,,,-38379416597.0,-35110160261.0,-73489576858.0
Giảm do thanh lýcông ty con,Năm nay > Giảm do thanh lýcông ty con,Giảm do thanh lýcông ty con,-,-,-,-,-,(10.350.995.933),(16.712.141.385),(27.063.137.318),,,,,,-10350995933.0,-16712141385.0,-27063137318.0
Thay đổi tỉ lệ sở hữu tạicác công ty con,Năm nay > Thay đổi tỉ lệ sở hữu tạicác công ty con,Thay đổi tỉ lệ sở hữu tạicác công ty con,-,-,-,-,-,1.506.769.179.674,1.256.842.276.315,2.763.611.455.989,,,,,,1506769179674.0,1256842276315.0,2763611455989.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,5.977.730.480.000,10.677.980.806,(2.500.560.000),82.466.447.657,32.030.490.000,2.669.077.393.194,4.611.992.908.737,13.381.475.140.394,5977730480000.0,10677980806.0,-2500560000.0,82466447657.0,32030490000.0,2669077393194.0,4611992908737.0,13381475140394.0
