row_label_raw,row_label_full,Tên công ty con,Lĩnh vực kinh doanh,Tình trạng hoạt động,Tỷ lệ biểu quyết,Tỷ lệ biểu quyết_1,numeric__Lĩnh vực kinh doanh,numeric__Tình trạng hoạt động,numeric__Tỷ lệ biểu quyết,numeric__Tỷ lệ biểu quyết_1
Tên công ty con,Tên công ty con,Tên công ty con,Lĩnh vực kinh doanh,Tình trạng hoạt động,Tại ngày 31 tháng 12 năm 2021 (%),Tại ngày 31 tháng 12 năm 2020 (%),,,,
Lĩnh vực dịch vụ bất động sản (tiếp theo),Lĩnh vực dịch vụ bất động sản (tiếp theo),Lĩnh vực dịch vụ bất động sản (tiếp theo),Lĩnh vực dịch vụ bất động sản (tiếp theo),Lĩnh vực dịch vụ bất động sản (tiếp theo),Lĩnh vực dịch vụ bất động sản (tiếp theo),Lĩnh vực dịch vụ bất động sản (tiếp theo),,,,
"(64) Công ty Cổ phần Dịch vụ Bất động sản Duyên Hải Miền Tây (""Duyên Hải Miền Tây"")","Lĩnh vực dịch vụ bất động sản (tiếp theo) > (64) Công ty Cổ phần Dịch vụ Bất động sản Duyên Hải Miền Tây (""Duyên Hải Miền Tây"")","(64) Công ty Cổ phần Dịch vụ Bất động sản Duyên Hải Miền Tây (""Duyên Hải Miền Tây"")",Kinh doanh và môi giới BĐS,Đang hoạt động,51,-,,,51.0,
"(65) Công ty TNHH Regal Food (""Regal Food"")","Lĩnh vực dịch vụ bất động sản (tiếp theo) > (65) Công ty TNHH Regal Food (""Regal Food"")","(65) Công ty TNHH Regal Food (""Regal Food"")",Kinh doanh và môi giới BĐS,Đang hoạt động,100,-,,,100.0,
"(66) Công ty TNHH Đất Mới Minh Hưng (""Đất Mới Minh Hưng"")","Lĩnh vực dịch vụ bất động sản (tiếp theo) > (66) Công ty TNHH Đất Mới Minh Hưng (""Đất Mới Minh Hưng"")","(66) Công ty TNHH Đất Mới Minh Hưng (""Đất Mới Minh Hưng"")",Kinh doanh và môi giới BĐS,Đang hoạt động,100,-,,,100.0,
"(67) Công ty Cổ phần Mặt Trời Cửu Long (""Mặt Trời Cửu Long"")","Lĩnh vực dịch vụ bất động sản (tiếp theo) > (67) Công ty Cổ phần Mặt Trời Cửu Long (""Mặt Trời Cửu Long"")","(67) Công ty Cổ phần Mặt Trời Cửu Long (""Mặt Trời Cửu Long"")",Kinh doanh và môi giới BĐS,Đang hoạt động,55,-,,,55.0,
"(68) Công ty Cổ phần Bất động sản Redvn (""Redvn"")","Lĩnh vực dịch vụ bất động sản (tiếp theo) > (68) Công ty Cổ phần Bất động sản Redvn (""Redvn"")","(68) Công ty Cổ phần Bất động sản Redvn (""Redvn"")",Kinh doanh và môi giới BĐS,Đang hoạt động,99,-,,,99.0,
"(69) Công ty Cổ phần Công nghệ Dịch vụ Môi giới Ohio (""Ohio"")","Lĩnh vực dịch vụ bất động sản (tiếp theo) > (69) Công ty Cổ phần Công nghệ Dịch vụ Môi giới Ohio (""Ohio"")","(69) Công ty Cổ phần Công nghệ Dịch vụ Môi giới Ohio (""Ohio"")",Kinh doanh và môi giới BĐS,Đang hoạt động,90,-,,,90.0,
"(70) Công ty Cổ phần Đầu tư Đồng Nai (""Đầu tư Đồng Nai"")","Lĩnh vực dịch vụ bất động sản (tiếp theo) > (70) Công ty Cổ phần Đầu tư Đồng Nai (""Đầu tư Đồng Nai"")","(70) Công ty Cổ phần Đầu tư Đồng Nai (""Đầu tư Đồng Nai"")",Kinh doanh và môi giới BĐS,Đang hoạt động,100,-,,,100.0,
"(71) Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Đồng Nai (""BDS Đồng Nai"")","Lĩnh vực dịch vụ bất động sản (tiếp theo) > (71) Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Đồng Nai (""BDS Đồng Nai"")","(71) Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Đồng Nai (""BDS Đồng Nai"")",Kinh doanh và môi giới BĐS,Đang hoạt động,100,-,,,100.0,
