row_label_raw,row_label_full,STT,CHỈ TIÊU,Năm nayVND,Năm trướcVND,numeric__CHỈ TIÊU,numeric__Năm nayVND,numeric__Năm trướcVND
LU'U CHUYÊN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH,,,
01.,LU'U CHUYÊN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 01.,01.,Thu nhập lãi và các khoản thu nhập tương tự nhận được,58.898.319,31.743.193,,58898319.0,31743193.0
02.,LU'U CHUYÊN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 02.,02.,Chỉ phí lãi và các chi phí tương tự đã trả,(33.347.727),(21.841.721),,-33347727.0,-21841721.0
03.,LU'U CHUYÊN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 03.,03.,Thu nhập từ hoạt động dịch vụ nhận được,582.559,757.558,,582559.0,757558.0
04.,LU'U CHUYÊN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 04.,04.,Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh ngoại tệ và chứng khoán,425.519,260.627,,425519.0,260627.0
05.,LU'U CHUYÊN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 05.,05.,Thu nhập khác,243.550,60.297,,243550.0,60297.0
06.,LU'U CHUYÊN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 06.,06.,"Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",190.201,626.930,,190201.0,626930.0
07.,LU'U CHUYÊN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 07.,07.,"Tiền chỉ trả cho nhân viên và hoạt động quản lý, công vụ",(4.945.722),(4.340.550),,-4945722.0,-4340550.0
08.,LU'U CHUYÊN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 08.,08.,Tiền thuế thu nhập doanh nghiệp thực nộp trong năm Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đối về tài sản và vốn lưu động,(2.437.226),(502.344),,-2437226.0,-502344.0
,,,Những thay đối về tài sản hoạt động,(55.153.267),(43.115.133),,-55153267.0,-43115133.0
09.,LU'U CHUYÊN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 09.,09.,Giảm/(Tăng) các khoản tiền gửi và cho vay các TCTD khác,1.709.924,(2.059.212),,1709924.0,-2059212.0
10.,LU'U CHUYÊN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 10.,10.,Tăng các khoản về kinh doanh chứng khoán,(7.004.389),(7.901.835),,-7004389.0,-7901835.0
11.,LU'U CHUYÊN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 11.,11.,Giảm/(Tăng) các công cụ tài chính phải sinh và các tài sản tài chính khác,269.772,(17.324),,269772.0,-17324.0
12.,LU'U CHUYÊN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH > 12.,12.,Tăng các khoản cho vay khách hàng,(52.830.933),(23.217.091),,-52830933.0,-23217091.0
