row_label_raw,row_label_full,col_0,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
,,,Triệu VND,Triệu VND,,
Thu nhập từ hoạt động kinh doanh ngoại hối,Thu nhập từ hoạt động kinh doanh ngoại hối,Thu nhập từ hoạt động kinh doanh ngoại hối,3.039.266,2.292.772,3039266.0,2292772.0
- Thu từ kinh doanh ngoại tệ giao ngay,- Thu từ kinh doanh ngoại tệ giao ngay,- Thu từ kinh doanh ngoại tệ giao ngay,2.442.366,1.200.786,2442366.0,1200786.0
- Thu từ công cụ tài chính phải sinh tiền tệ,- Thu từ công cụ tài chính phải sinh tiền tệ,- Thu từ công cụ tài chính phải sinh tiền tệ,596.900,1.091.986,596900.0,1091986.0
Chi phí hoạt động kinh doanh ngoại hối,Chi phí hoạt động kinh doanh ngoại hối,Chi phí hoạt động kinh doanh ngoại hối,(2.757.059),(2.176.522),-2757059.0,-2176522.0
- Chi về kinh doanh ngoại tệ giao ngay,- Chi về kinh doanh ngoại tệ giao ngay,- Chi về kinh doanh ngoại tệ giao ngay,(2.279.584),(1.167.192),-2279584.0,-1167192.0
- Chi về công cụ tài chính phải sinh tiền tệ,- Chi về công cụ tài chính phải sinh tiền tệ,- Chi về công cụ tài chính phải sinh tiền tệ,(477.475),(1.009.330),-477475.0,-1009330.0
Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,282.207,116.250,282207.0,116250.0
