row_label_raw,row_label_full,col_0,Dự phòng chứng khoán đầu tư sẵn sàng để bán,Dự phòng chứng khoán đầu tư sẵn sàng để bán_1,Dự phòng chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng chứng khoán đầu tư giữ đến ngày đáo hạn_1,numeric__Dự phòng chứng khoán đầu tư sẵn sàng để bán,numeric__Dự phòng chứng khoán đầu tư sẵn sàng để bán_1,numeric__Dự phòng chứng khoán đầu tư giữ đến ngày đáo hạn,numeric__Dự phòng chứng khoán đầu tư giữ đến ngày đáo hạn_1
,,,Dự phòng chung,Dự phòng giảm giá,Dự phòng chung,Tổng cộng,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,41.517,400,3.949,45.866,41517.0,400.0,3949.0,45866.0
Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,51.577,159,-,51.736,51577.0,159.0,,51736.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,93.094,559,3.949,97.602,93094.0,559.0,3949.0,97602.0
