row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,TSCĐ vô hình khác,Tổng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__TSCĐ vô hình khác,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.347.706,401.253,24.016,4.772.975,4347706.0,401253.0,24016.0,4772975.0
Mua sắm trong năm,Nguyên giá > Mua sắm trong năm,Mua sắm trong năm,12.664,64.845,-,77.509,12664.0,64845.0,,77509.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,(358),(446),(804),,-358.0,-446.0,-804.0
Giảm do thoái vốn SHBFC,Nguyên giá > Giảm do thoái vốn SHBFC,Giảm do thoái vốn SHBFC,-,(23.185),(566),(23.751),,-23185.0,-566.0,-23751.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.360.370,442.555,23.004,4.825.929,4360370.0,442555.0,23004.0,4825929.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,6.595,295.822,19.016,321.433,6595.0,295822.0,19016.0,321433.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,159,24.377,999,25.535,159.0,24377.0,999.0,25535.0
Chênh lệch tỷ giá,Giá trị hao mòn lũy kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,(358),(446),(804),,-358.0,-446.0,-804.0
Giảm do thoái vốn SHBFC,Giá trị hao mòn lũy kế > Giảm do thoái vốn SHBFC,Giảm do thoái vốn SHBFC,-,(14.107),(566),(14.673),,-14107.0,-566.0,-14673.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,6.754,305.734,19.003,331.491,6754.0,305734.0,19003.0,331491.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,4.341.111,105.431,5.000,4.451.542,4341111.0,105431.0,5000.0,4451542.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,4.353.616,136.821,4.001,4.494.438,4353616.0,136821.0,4001.0,4494438.0
