row_label_raw,row_label_full,Loại giấy tờ có giá,Trái phiếu,Chứng chỉ tiên gửi,Tổng cộng,numeric__Trái phiếu,numeric__Chứng chỉ tiên gửi,numeric__Tổng cộng
Loại giấy tờ có giá,Loại giấy tờ có giá,Loại giấy tờ có giá,Triệu VND,Triệu VND,Triệu VND,,,
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,,,
Dưới 12 tháng,Số dư cuối năm > Dưới 12 tháng,Dưới 12 tháng,-,19.310.000,19.310.000,,19310000.0,19310000.0
- Bằng VND,Số dư cuối năm > - Bằng VND,- Bằng VND,-,19.310.000,19.310.000,,19310000.0,19310000.0
Từ 12 tháng đến dưới 5 năm,Số dư cuối năm > Từ 12 tháng đến dưới 5 năm,Từ 12 tháng đến dưới 5 năm,-,126,126,,126.0,126.0
- Bằng VND,Số dư cuối năm > - Bằng VND,- Bằng VND,-,126,126,,126.0,126.0
Từ 5 năm trở lên,Số dư cuối năm > Từ 5 năm trở lên,Từ 5 năm trở lên,2.448.100,21.063.501,23.511.601,2448100.0,21063501.0,23511601.0
- Bằng VND,Số dư cuối năm > - Bằng VND,- Bằng VND,2.448.100,21.063.501,23.511.601,2448100.0,21063501.0,23511601.0
,,,2.448.100,40.373.627,42.821.727,2448100.0,40373627.0,42821727.0
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,,,
Dưới 12 tháng,Số dư đầu năm > Dưới 12 tháng,Dưới 12 tháng,-,8.508.000,8.508.000,,8508000.0,8508000.0
- Bằng VND,Số dư đầu năm > - Bằng VND,- Bằng VND,-,8.508.000,8.508.000,,8508000.0,8508000.0
Từ 12 tháng đến dưới 5 năm,Số dư đầu năm > Từ 12 tháng đến dưới 5 năm,Từ 12 tháng đến dưới 5 năm,4.900.000,2.258.246,7.158.246,4900000.0,2258246.0,7158246.0
- Bằng VND,Số dư đầu năm > - Bằng VND,- Bằng VND,4.900.000,2.258.246,7.158.246,4900000.0,2258246.0,7158246.0
Từ 5 năm trở lên,Số dư đầu năm > Từ 5 năm trở lên,Từ 5 năm trở lên,-,20.773.962,20.773.962,,20773962.0,20773962.0
- Bằng VND,Số dư đầu năm > - Bằng VND,- Bằng VND,-,20.773.962,20.773.962,,20773962.0,20773962.0
,,,4.900.000,31.540.208,36.440.208,4900000.0,31540208.0,36440208.0
