row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
1.,1.,1.,Bảo lãnh vay vốn,41,55.050,23.856,,41.0,55050.0,23856.0
2.,2.,2.,Cam kết giao dịch hối đoái,41,15.454.640,38.872.143,,41.0,15454640.0,38872143.0
2.,2.,2.,Cam kết mua ngoại tệ,,805.070,6.324.654,,,805070.0,6324654.0
2.,2.,2.,Cam kết bán ngoại tệ,,814.380,3.074.583,,,814380.0,3074583.0
2.,2.,2.,Cam kết giao dịch hoán đổi,,13.835.190,29.472.906,,,13835190.0,29472906.0
3.,3.,3.,Cam kết trong nghiệp vụ L/C,41,5.085.207,19.146.337,,41.0,5085207.0,19146337.0
4.,4.,4.,Bảo lãnh khác,41,18.477.630,16.035.382,,41.0,18477630.0,16035382.0
5.,5.,5.,Lãi cho vay và phí phải thu chưa thu được,42,10.116.063,7.070.140,,42.0,10116063.0,7070140.0
6.,6.,6.,Nợ khó đòi đã xử lý,43,33.542.661,34.822.298,,43.0,33542661.0,34822298.0
7.,7.,7.,Tài sản và chứng từ khác,44,2.530.168,4.156.915,,44.0,2530168.0,4156915.0
