row_label_raw,row_label_full,col_0,Năm nay,Số đầu năm(Trình bày lại),numeric__Năm nay,numeric__Số đầu năm(Trình bày lại)
,,,Triệu VND,Triệu VND,,
Các khoản lãi và phí phải trả,Các khoản lãi và phí phải trả,Các khoản lãi và phí phải trả,14.025.631,9.069.320,14025631.0,9069320.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,36.030,30.233,36030.0,30233.0
Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,2.207.252,2.693.526,2207252.0,2693526.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Các khoản phải trả nội bộ,Trong đó: > Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,106.511,66.163,106511.0,66163.0
Các khoản phải trả bên ngoài,Trong đó: > Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,1.956.066,2.579.900,1956066.0,2579900.0
- Thuế và các khoản phải trả cho Ngân sách nhà nước(Thuyết minh số 24),Trong đó: > - Thuế và các khoản phải trả cho Ngân sách nhà nước(Thuyết minh số 24),- Thuế và các khoản phải trả cho Ngân sách nhà nước(Thuyết minh số 24),1.257.723,1.811.318,1257723.0,1811318.0
- Phải trả về trung gian thanh toán và nợ phải trả khác,Trong đó: > - Phải trả về trung gian thanh toán và nợ phải trả khác,- Phải trả về trung gian thanh toán và nợ phải trả khác,580.834,246.496,580834.0,246496.0
- Các khoản phải trả khác,Trong đó: > - Các khoản phải trả khác,- Các khoản phải trả khác,117.509,522.086,117509.0,522086.0
"Quỹ khen thưởng, phúc lợi","Trong đó: > Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",144.675,47.463,144675.0,47463.0
,,,16.268.913,11.793.079,16268913.0,11793079.0
