row_label_raw,row_label_full,col_0,Số dư đầu kỳ,Phát sinh trong năm,Phát sinh trong năm_1,Số dư cuối kỳ,numeric__Số dư đầu kỳ,numeric__Phát sinh trong năm,numeric__Phát sinh trong năm_1,numeric__Số dư cuối kỳ
,,,Số dư đầu kỳ,Số phải nộp,Số đã nộp,Số dư cuối kỳ,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Thuế GTGT,Thuế GTGT,Thuế GTGT,8.423,155.715,150.419,13.719,8423.0,155715.0,150419.0,13719.0
Thuế TNDN,Thuế TNDN,Thuế TNDN,1.746.517,1.908.466,2.437.226,1.217.757,1746517.0,1908466.0,2437226.0,1217757.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,56.378,474.038,504.169,26.247,56378.0,474038.0,504169.0,26247.0
,,,1.811.318,2.538.219,3.091.814,1.257.723,1811318.0,2538219.0,3091814.0,1257723.0
