row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ khác,Chênh lệch tỷ giá hối đoái,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Quỹ khác,numeric__Chênh lệch tỷ giá hối đoái,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,30.673.832,1.449.603,(5.260),45.385,2.670.379,1.345.048,1.022,(606.344),7.330.806,42.904.471,30673832.0,1449603.0,-5260.0,45385.0,2670379.0,1345048.0,1022.0,-606344.0,7330806.0,42904471.0
Phát hành cổ phiếu để chi trả cổ tức (Thuyết minh số 25.4),Phát hành cổ phiếu để chi trả cổ tức (Thuyết minh số 25.4),Phát hành cổ phiếu để chi trả cổ tức (Thuyết minh số 25.4),5.520.149,-,-,-,-,-,-,-,(5.520.149),-,5520149.0,,,,,,,,-5520149.0,
Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,-,-,-,-,-,-,-,-,7.324.758,7.324.758,,,,,,,,,7324758.0,7324758.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,-,5.236,-,5.236,-,-,(10.472),-,,,,5236.0,,5236.0,,,-10472.0,
"Trích quỹ khen thưởng, phúc lợi (i)","Trích quỹ khen thưởng, phúc lợi (i)","Trích quỹ khen thưởng, phúc lợi (i)",-,-,-,-,-,-,-,-,(105.000),(105.000),,,,,,,,,-105000.0,-105000.0
Tạm trích quỹ trong năm,Tạm trích quỹ trong năm,Tạm trích quỹ trong năm,-,-,-,-,732.007,366.003,-,-,(1.098.010),-,,,,,732007.0,366003.0,,,-1098010.0,
Điều chỉnh quỹ do thoái vốn SHBFC,Điều chỉnh quỹ do thoái vốn SHBFC,Điều chỉnh quỹ do thoái vốn SHBFC,-,-,-,-,(18.017),(9.009),-,-,81.666,54.640,,,,,-18017.0,-9009.0,,,81666.0,54640.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,(2.449),-,(2.743),-,(82.694),-,(87.886),,,,-2449.0,,-2743.0,,-82694.0,,-87886.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,-,-,-,7.297,7.297,,,,,,,,,7297.0,7297.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,36.193.981,1.449.603,(5.260),48.172,3.384.369,1.704.535,1.022,(689.038),8.010.896,50.098.280,36193981.0,1449603.0,-5260.0,48172.0,3384369.0,1704535.0,1022.0,-689038.0,8010896.0,50098280.0
