row_label_raw,row_label_full,Lãi cho vay,Lãi cho vay_1,Lãi cho vay_2,numeric__Lãi cho vay_1,numeric__Lãi cho vay_2
Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế kỳ,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế kỳ,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế kỳ,1.556.178.082,523.150.685,1556178082.0,523150685.0
Công ty Cổ phần Bất động sản Cen Sài Gòn,Công ty Cổ phần Bất động sản Cen Sài Gòn,Công ty Cổ phần Bất động sản Cen Sài Gòn,234.767.123,-,234767123.0,
,,,1.790.945.205,523.150.685,1790945205.0,523150685.0
Cho vay,Cho vay,Cho vay,Cho vay,Cho vay,,
Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế kỳ,Cho vay > Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế kỳ,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế kỳ,72.000.000.000,-,72000000000.0,
Công ty Cổ phần Bất động sản Cen Sài Gòn,Cho vay > Công ty Cổ phần Bất động sản Cen Sài Gòn,Công ty Cổ phần Bất động sản Cen Sài Gòn,15.000.000.000,-,15000000000.0,
,,,87.000.000.000,-,87000000000.0,
Thu hồi gốc vay,Thu hồi gốc vay,Thu hồi gốc vay,Thu hồi gốc vay,Thu hồi gốc vay,,
Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế kỳ,Thu hồi gốc vay > Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế kỳ,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế kỳ,42.000.000.000,-,42000000000.0,
Công ty Cổ phần Bất động sản Cen Sài Gòn,Thu hồi gốc vay > Công ty Cổ phần Bất động sản Cen Sài Gòn,Công ty Cổ phần Bất động sản Cen Sài Gòn,5.000.000.000,-,5000000000.0,
,,,47.000.000.000,-,47000000000.0,
Góp vốn vào công ty con,Góp vốn vào công ty con,Góp vốn vào công ty con,Góp vốn vào công ty con,Góp vốn vào công ty con,,
Công ty Cổ phần Dịch vụ Bất động sản Ngôi sao Toàn Cầu,Góp vốn vào công ty con > Công ty Cổ phần Dịch vụ Bất động sản Ngôi sao Toàn Cầu,Công ty Cổ phần Dịch vụ Bất động sản Ngôi sao Toàn Cầu,9.500.000.000,,9500000000.0,
Công ty Cổ phần M&I Thế kỳ,Góp vốn vào công ty con > Công ty Cổ phần M&I Thế kỳ,Công ty Cổ phần M&I Thế kỳ,1.020.000.000,-,1020000000.0,
,,,10.520.000.000,-,10520000000.0,
Thu nhập của Hội đồng Quản trị và Ban Tổng Giám đốc,Góp vốn vào công ty con > Thu nhập của Hội đồng Quản trị và Ban Tổng Giám đốc,Thu nhập của Hội đồng Quản trị và Ban Tổng Giám đốc,5.427.059.638,5.292.434.301,5427059638.0,5292434301.0
