row_label_raw,row_label_full,Chi phí bán hàng phát sinh trong năm,Năm nayVND > Chi phí bán hàng phát sinh trong năm,Năm trướcVND > Chi phí bán hàng phát sinh trong năm,numeric__Năm nayVND > Chi phí bán hàng phát sinh trong năm,numeric__Năm trướcVND > Chi phí bán hàng phát sinh trong năm
"Chi phí quảng cáo, khuyến mại","Chi phí quảng cáo, khuyến mại","Chi phí quảng cáo, khuyến mại",12.829.981.276,7.911.374.569,12829981276.0,7911374569.0
Các khoản chi phí bán hàng khác,Các khoản chi phí bán hàng khác,Các khoản chi phí bán hàng khác,28.297.428.943,77.164.264,28297428943.0,77164264.0
,,,41.127.410.219,7.988.538.833,41127410219.0,7988538833.0
Chi phí quản lý doanh nghiệp phát sinh trong năm,Chi phí quản lý doanh nghiệp phát sinh trong năm,Chi phí quản lý doanh nghiệp phát sinh trong năm,Chi phí quản lý doanh nghiệp phát sinh trong năm,Chi phí quản lý doanh nghiệp phát sinh trong năm,,
"Chi phí nguyên liệu, vật liệu","Chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",24.522.727,17.230.000,24522727.0,17230000.0
Chi phí nhân công,Chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí nhân công,Chi phí nhân công,27.074.847.660,24.754.185.494,27074847660.0,24754185494.0
Chi phí khấu hao tài sản cố định,Chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,9.259.497.740,3.126.319.227,9259497740.0,3126319227.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,25.085.302.900,20.445.939.365,25085302900.0,20445939365.0
Các khoản chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp phát sinh trong năm > Các khoản chi phí quản lý doanh nghiệp khác,Các khoản chi phí quản lý doanh nghiệp khác,32.128.070.177,23.041.770.749,32128070177.0,23041770749.0
,,,93.572.241.204,71.385.444.835,93572241204.0,71385444835.0
