row_label_raw,row_label_full,col_0,Nhà cửa vàvật kiến trúc,Phương tiệnvận tải,Thiết bịvăn phòng,Tổng công,numeric__Nhà cửa vàvật kiến trúc,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Tổng công
,,,VND,VND,VND,VND,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,110.684.934.984,29.535.189.637,2.731.551.040,142.951.675.661,110684934984.0,29535189637.0,2731551040.0,142951675661.0
Mua sắm mồi,NGUYÊN GIÁ > Mua sắm mồi,Mua sắm mồi,8.756.504.608,4.215.734.547,10.459.796.461,23.432.035.616,8756504608.0,4215734547.0,10459796461.0,23432035616.0
Phân loại lại sang tài sảncỡ định vô hình,NGUYÊN GIÁ > Phân loại lại sang tài sảncỡ định vô hình,Phân loại lại sang tài sảncỡ định vô hình,(8.096.485.616),-,-,(8.096.485.616),-8096485616.0,,,-8096485616.0
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,111.344.953.976,33.750.924.184,13.191.347.501,158.287.225.661,111344953976.0,33750924184.0,13191347501.0,158287225661.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,,,,
Số đầu năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Số đầu năm,Số đầu năm,121.523.592,6.430.271.381,1.701.237.309,8.253.032.282,121523592.0,6430271381.0,1701237309.0,8253032282.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,3.661.399.244,3.587.988.266,2.394.341.222,9.643.728.732,3661399244.0,3587988266.0,2394341222.0,9643728732.0
Số cuối năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Số cuối năm,Số cuối năm,3.782.922.836,10.018.259.647,4.095.578.531,17.896.761.014,3782922836.0,10018259647.0,4095578531.0,17896761014.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Số cuối năm,GIÁ TRỊ CÒN LẠI > Số cuối năm,Số cuối năm,107.562.031.140,23.732.664.537,9.095.768.970,140.390.464.647,107562031140.0,23732664537.0,9095768970.0,140390464647.0
Số đầu năm,GIÁ TRỊ CÒN LẠI > Số đầu năm,Số đầu năm,110.563.411.392,23.104.918.256,1.030.313.731,134.698.643.379,110563411392.0,23104918256.0,1030313731.0,134698643379.0
