row_label_raw,row_label_full,CHÌ TIÊU,Mã số,Năm nay,Năm trước,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG KINH DOANH,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG KINH DOANH,,,
1. Lợi nhuận trước thuế,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG KINH DOANH > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,463.663.273.128,371.540.288.765,1.0,463663273128.0,371540288765.0
2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,,,
Khẩu hao tài sản cố định,2. Điều chỉnh cho các khoản: > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,02,9.917.005.679,3.603.728.767,2.0,9917005679.0,3603728767.0
Các khoản dự phòng,2. Điều chỉnh cho các khoản: > Các khoản dự phòng,Các khoản dự phòng,03,-,980.612.741,3.0,,980612741.0
(Lãi) từ hoạt động đầu tư,2. Điều chỉnh cho các khoản: > (Lãi) từ hoạt động đầu tư,(Lãi) từ hoạt động đầu tư,05,(5.184.139.857),(2.587.636.680),5.0,-5184139857.0,-2587636680.0
Chi phí lãi vay,2. Điều chỉnh cho các khoản: > Chi phí lãi vay,Chi phí lãi vay,06,22.231.183.764,-,6.0,22231183764.0,
3. Lợi nhuận từ hoạt động kinh doanh trước thayđổi vốn lưu động,2. Điều chỉnh cho các khoản: > 3. Lợi nhuận từ hoạt động kinh doanh trước thayđổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thayđổi vốn lưu động,08,490.627.322.714,373.536.993.593,8.0,490627322714.0,373536993593.0
Thay đối các khoản phải thu,2. Điều chỉnh cho các khoản: > Thay đối các khoản phải thu,Thay đối các khoản phải thu,09,(435.869.913.777),(455.160.255.766),9.0,-435869913777.0,-455160255766.0
Thay đối hàng tồn kho,2. Điều chỉnh cho các khoản: > Thay đối hàng tồn kho,Thay đối hàng tồn kho,10,316.190.120.977,(451.427.489.086),10.0,316190120977.0,-451427489086.0
"Thay đối các khoản phải trả (Không kể lãi vay phảitrà, thuế thu nhập doanh nghiệp phải nộp)","2. Điều chỉnh cho các khoản: > Thay đối các khoản phải trả (Không kể lãi vay phảitrà, thuế thu nhập doanh nghiệp phải nộp)","Thay đối các khoản phải trả (Không kể lãi vay phảitrà, thuế thu nhập doanh nghiệp phải nộp)",11,(63.123.537.933),215.328.316.571,11.0,-63123537933.0,215328316571.0
Thay đối chi phí trả trước,2. Điều chỉnh cho các khoản: > Thay đối chi phí trả trước,Thay đối chi phí trả trước,12,(13.861.125.457),(1.228.326.269),12.0,-13861125457.0,-1228326269.0
Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản: > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(22.231.183.764),-,14.0,-22231183764.0,
Thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản: > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(79.745.633.821),(56.130.565.085),15.0,-79745633821.0,-56130565085.0
Tiền chi khác cho hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(25.270.685.130),(17.572.799.773),17.0,-25270685130.0,-17572799773.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,166.715.363.809,(392.654.125.815),20.0,166715363809.0,-392654125815.0
II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG ĐẦU TỰ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG ĐẦU TỰ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG ĐẦU TỰ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG ĐẦU TỰ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG ĐẦU TỰ,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG ĐẦU TỰ,,,
"1. Tiền chi mua sắm, xây dựng TSCĐ vàcác tài sản dài hạn khác","II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỒNG ĐẦU TỰ > 1. Tiền chi mua sắm, xây dựng TSCĐ vàcác tài sản dài hạn khác","1. Tiền chi mua sắm, xây dựng TSCĐ vàcác tài sản dài hạn khác",21,(57.186.761.745),(53.661.186.030),21.0,-57186761745.0,-53661186030.0
