row_label_raw,row_label_full,Tên công ty,Nơi thành lập và hoạt động,Tỷ lệ sở hữu và lợi ích %,Tỷ lệ quyền biểu quyết nắm giữ %,Hoạt động chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ sở hữu và lợi ích %,numeric__Tỷ lệ quyền biểu quyết nắm giữ %,numeric__Hoạt động chính
Công ty Cổ phần Dịch vụ Bắt động sản Ngôi Sao Toàn Cầu,Công ty Cổ phần Dịch vụ Bắt động sản Ngôi Sao Toàn Cầu,Công ty Cổ phần Dịch vụ Bắt động sản Ngôi Sao Toàn Cầu,Hà Nội,"51,00%","51,00%","Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê; tư vấn, môi giới, quản lý, quảng cáo bất động sản",,0.51,0.51,
Công ty Cổ phần Truyền thông và Giải trí Ngôi Sao Mới,Công ty Cổ phần Truyền thông và Giải trí Ngôi Sao Mới,Công ty Cổ phần Truyền thông và Giải trí Ngôi Sao Mới,Hà Nội,"80,00%","80,00%","Cung cấp dịch vụ khai thác giá trị gia tăng trên mạng internet, quảng cáo, tổ chức giới thiệu xúc tiến thường mại, nghiên cứu thị trường",,0.8,0.8,
Công ty Cổ phần Bắt động sản Cen Sài Gòn,Công ty Cổ phần Bắt động sản Cen Sài Gòn,Công ty Cổ phần Bắt động sản Cen Sài Gòn,Tp. Hồ Chí Minh,"80,00%","80,00%","Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê; tư vấn, môi giới, quản lý, quảng cáo bất động sản",,0.8,0.8,
Công ty Cổ phần M&I Thế kỳ,Công ty Cổ phần M&I Thế kỳ,Công ty Cổ phần M&I Thế kỳ,Hà Nội,"51,00%","51,00%","Tư vấn, môi giới, đầu giá bất động sản, đầu giá quyền sử dụng đất",,0.51,0.51,
