row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thắng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thắng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,250.000.000.000,-,-,12.899.194.890,260.949.108.944,523.848.303.834,250000000000.0,,,12899194890.0,260949108944.0,523848303834.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,250.000.000.000,375.000.000.000,-,-,-,625.000.000.000,250000000000.0,375000000000.0,,,,625000000000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,297.004.274.301,297.004.274.301,,,,,297004274301.0,297004274301.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,21.710.909.062,(21.710.909.062),-,,,,21710909062.0,-21710909062.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(32.566.363.593),(32.566.363.593),,,,,-32566363593.0,-32566363593.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,(892.826.692),(892.826.692),,,,,-892826692.0,-892826692.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,500.000.000.000,375.000.000.000,-,34.610.103.952,502.783.283.898,1.412.393.387.850,500000000000.0,375000000000.0,,34610103952.0,502783283898.0,1412393387850.0
Phát hành cổ phiếu (i),Phát hành cổ phiếu (i),Phát hành cổ phiếu (i),300.000.000.000,(225.000.000.000),,-,(75.000.000.000),-,300000000000.0,-225000000000.0,,,-75000000000.0,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,370.815.647.916,370.815.647.916,,,,,370815647916.0,370815647916.0
Trích lập Quỹ đãu tư phát triển (ii),Trích lập Quỹ đãu tư phát triển (ii),Trích lập Quỹ đãu tư phát triển (ii),-,-,-,29.700.427.430,(29.700.427.430),-,,,,29700427430.0,-29700427430.0,
"Trích quỹ khen thưởng, phúc lợi (iii)","Trích quỹ khen thưởng, phúc lợi (iii)","Trích quỹ khen thưởng, phúc lợi (iii)",-,-,-,-,(20.790.299.201),(20.790.299.201),,,,,-20790299201.0,-20790299201.0
Mua lại cổ phiếu đã phát hành (i),Mua lại cổ phiếu đã phát hành (i),Mua lại cổ phiếu đã phát hành (i),,,(1.080.000),,,(1.080.000),,,-1080000.0,,,-1080000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,800.000.000.000,150.000.000.000,(1.080.000),64.310.531.382,748.108.205.183,1.762.417.656.565,800000000000.0,150000000000.0,-1080000.0,64310531382.0,748108205183.0,1762417656565.0
