row_label_raw,row_label_full,Chi tiêu,Số đầu năm,Phát sinh trong năm > Số phải nộp,Phát sinh trong năm > Số đã nộp,Số cuối năm,numeric__Số đầu năm,numeric__Phát sinh trong năm > Số phải nộp,numeric__Phát sinh trong năm > Số đã nộp,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,6.764.128.369,116.557.026.679,109.736.789.111,13.584.365.937,6764128369.0,116557026679.0,109736789111.0,13584365937.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,44.012.413.011,92.847.625.212,79.745.633.821,57.114.404.402,44012413011.0,92847625212.0,79745633821.0,57114404402.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,27.514.066.081,65.967.193.567,54.660.415.677,38.820.843.971,27514066081.0,65967193567.0,54660415677.0,38820843971.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,1.187.617.094,1.187.617.094,-,,1187617094.0,1187617094.0,
Thuế môn bài,Thuế môn bài,Thuế môn bài,-,21.275.400,21.275.400,-,,21275400.0,21275400.0,
Thuế và các khoản phải nộp khác,Thuế và các khoản phải nộp khác,Thuế và các khoản phải nộp khác,-,1.166.341.694,1.166.341.694,-,,1166341694.0,1166341694.0,
Cộng,Cộng,Cộng,78.290.607.461,276.559.462.552,245.330.455.703,109.519.614.310,78290607461.0,276559462552.0,245330455703.0,109519614310.0
