row_label_raw,row_label_full,Tỷ lệ dự trữ bắt buộc,Tỷ lệ dự trữ bắt buộc_1,numeric__Tỷ lệ dự trữ bắt buộc_1
31/12/2023,31/12/2023,31/12/2023,31/12/2022,
"8,00%","31/12/2023 > 8,00%","8,00%","8,00%",0.08
"6,00%","31/12/2023 > 6,00%","6,00%","6,00%",0.06
"3,00%","31/12/2023 > 3,00%","3,00%","3,00%",0.03
"1,00%","31/12/2023 > 1,00%","1,00%","1,00%",0.01
