row_label_raw,row_label_full,col_0,col_1,Năm 2023Triệu VND,Năm 2022Triệu VND,numeric__col_1,numeric__Năm 2023Triệu VND,numeric__Năm 2022Triệu VND
,,,,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
01.,01.,01.,Mua sắm tài sản cố định,(310.061),(291.947),,-310061.0,-291947.0
02.,02.,02.,"Tiền thu từ thanh lý, nhượng bán tài sản cố định",28,-,,28.0,
08.,08.,08.,"Tiền thu từ đầu tư, góp vốn vào các đơn vị khác",-,24.102,,,24102.0
09.,09.,09.,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư,góp vốn dài hạn",44.007,7.893,,44007.0,7893.0
II.,II.,II.,Lưu chuyển tiền thuần từ hoạt động đầu tư,(266.026),(259.952),,-266026.0,-259952.0
II.,II.,II.,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
01.,II. > 01.,01.,Tăng vốn cổ phần từ phát hành cổ phiếu,504.000,3.610.673,,504000.0,3610673.0
III.,II. > III.,III.,Lưu chuyển tiền thuần từ hoạt động tài chính,504.000,3.610.673,,504000.0,3610673.0
IV.,II. > IV.,IV.,Lưu chuyển tiền thuần trong năm,(1.562.260),12.099.954,,-1562260.0,12099954.0
V.,II. > V.,V.,Tiền và các khoản tương đương tiền đầu năm,55.306.145,43.206.191,,55306145.0,43206191.0
VII.,II. > VII.,VII.,Tiền và các khoản tương đương tiền cuối năm(Thuyết minh V.30),53.743.885,55.306.145,,53743885.0,55306145.0
