row_label_raw,row_label_full,Tại ngày 31/12/2023(Triệu VND),Quá hạn > Đến 3 tháng,Quá hạn > Trên 3 tháng,Quá hạn > Đến 1 tháng,Trong hạn > Từ trên 1 tháng đến 3 tháng,Trong hạn > Từ trên 3 tháng đến 12 tháng,Trong hạn > Từ trên 1 đến 5 năm,Trong hạn > Trên 5 năm,Trong hạn > Tổng cộng,numeric__Quá hạn > Đến 3 tháng,numeric__Quá hạn > Trên 3 tháng,numeric__Quá hạn > Đến 1 tháng,numeric__Trong hạn > Từ trên 1 tháng đến 3 tháng,numeric__Trong hạn > Từ trên 3 tháng đến 12 tháng,numeric__Trong hạn > Từ trên 1 đến 5 năm,numeric__Trong hạn > Trên 5 năm,numeric__Trong hạn > Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,851.268,-,-,-,-,851.268,,,851268.0,,,,,851268.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,2.784.593,-,-,-,-,2.784.593,,,2784593.0,,,,,2784593.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,-,-,47.003.024,3.105.000,2.890.550,-,-,52.998.574,,,47003024.0,3105000.0,2890550.0,,,52998574.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,8.353.236,-,-,-,,8.353.236,,,8353236.0,,,,,8353236.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,1.464.395,3.251.476,11.246.559,11.905.817,81.339.640,51.245.024,15.625.032,176.077.943,1464395.0,3251476.0,11246559.0,11905817.0,81339640.0,51245024.0,15625032.0,176077943.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,319.364,-,42.001,-,320.998,865.315,12.725.177,14.272.855,319364.0,,42001.0,,320998.0,865315.0,12725177.0,14272855.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,-,-,-,-,-,2.319.070,2.319.070,,,,,,,2319070.0,2319070.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,1.265.655,1.265.655,,,,,,,1265655.0,1265655.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,-,-,585.558,2.581.458,6.788.064,1.137.713,1.044.302,12.137.095,,,585558.0,2581458.0,6788064.0,1137713.0,1044302.0,12137095.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,1.783.759,3.251.476,70.866.239,17.592.275,91.339.252,53.248.052,32.979.236,271.060.289,1783759.0,3251476.0,70866239.0,17592275.0,91339252.0,53248052.0,32979236.0,271060289.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Nợ phải trả > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,-,-,439.123,28.361,2.071.153,-,-,2.538.637,,,439123.0,28361.0,2071153.0,,,2538637.0
Tiền gửi và vay từ các TCTD khác,Nợ phải trả > Tiền gửi và vay từ các TCTD khác,Tiền gửi và vay từ các TCTD khác,-,-,46.917.866,3.338.524,5.117.066,8.127.100,4.852.000,68.352.556,,,46917866.0,3338524.0,5117066.0,8127100.0,4852000.0,68352556.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,,,43.630.671,27.662.404,70.200.064,3.731.635,287,145.225.061,,,43630671.0,27662404.0,70200064.0,3731635.0,287.0,145225061.0
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,13.061,92.182,4.408,(2.520),-,107.131,,,13061.0,92182.0,4408.0,-2520.0,,107131.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,2.610.200,11.584.700,2.651.200,-,16.846.100,,,,2610200.0,11584700.0,2651200.0,,16846100.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,1.287.130,797.148,2.454.783,103.144,124.552,4.766.757,,,1287130.0,797148.0,2454783.0,103144.0,124552.0,4766757.0
Nợ phải trả,Nợ phải trả > Nợ phải trả,Nợ phải trả,-,-,92.287.851,34.528.819,91.432.174,14.610.559,4.976.839,237.836.242,,,92287851.0,34528819.0,91432174.0,14610559.0,4976839.0,237836242.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,1.783.759,3.251.476,(21.421.612),(16.936.544),(92.922),38.637.493,28.002.397,33.224.047,1783759.0,3251476.0,-21421612.0,-16936544.0,-92922.0,38637493.0,28002397.0,33224047.0
