row_label_raw,row_label_full,col_0,Tỷ giá ngày > 31/12/2023,Tỷ giá ngày > 31/12/2022,numeric__Tỷ giá ngày > 31/12/2023,numeric__Tỷ giá ngày > 31/12/2022
,,,VND,VND,,
AUD,AUD,AUD,16.561,16.068,16561.0,16068.0
CAD,CAD,CAD,18.359,17.452,18359.0,17452.0
CHF,CHF,CHF,28.844,25.450,28844.0,25450.0
EUR,EUR,EUR,26.974,25.284,26974.0,25284.0
GBP,GBP,GBP,31.005,28.582,31005.0,28582.0
HKD,HKD,HKD,3.106,3.018,3106.0,3018.0
JPY,JPY,JPY,"171,6","179,0",171.6,179.0
KRW,KRW,KRW,"19,05","18,81",19.05,18.81
SGD,SGD,SGD,18.410,17.617,18410.0,17617.0
THB,THB,THB,706,681,706.0,681.0
CNY,CNY,CNY,2.994,2.994,2994.0,2994.0
USD,USD,USD,24.260,23.530,24260.0,23530.0
XAU,XAU,XAU,7.395.000,6.615.000,7395000.0,6615000.0
