row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc Triệu VND","Máy móc, thiết bị Triệu VND","Phương tiện vận tải, truyền dẫn Triệu VND",Thiết bị văn phòng Triệu VND,Tài sản cố định khác Triệu VND,Tổng cộng Triệu VND,"numeric__Nhà cửa, vật kiến trúc Triệu VND","numeric__Máy móc, thiết bị Triệu VND","numeric__Phương tiện vận tải, truyền dẫn Triệu VND",numeric__Thiết bị văn phòng Triệu VND,numeric__Tài sản cố định khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,18.128,258.788,290.050,96.111,12.356,675.433,18128.0,258788.0,290050.0,96111.0,12356.0,675433.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,1.153,60.439,106.720,20.234,10.879,199.425,1153.0,60439.0,106720.0,20234.0,10879.0,199425.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(206),-,(1.108),(502),(885),(2.701),-206.0,,-1108.0,-502.0,-885.0,-2701.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,19.075,319.227,395.662,115.843,22.350,872.157,19075.0,319227.0,395662.0,115843.0,22350.0,872157.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,5.081,142.865,158.941,73.999,8.790,389.676,5081.0,142865.0,158941.0,73999.0,8790.0,389676.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,967,19.515,28.133,9.643,1.801,60.059,967.0,19515.0,28133.0,9643.0,1801.0,60059.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(206),-,(1.074),(502),(886),(2.668),-206.0,,-1074.0,-502.0,-886.0,-2668.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,5.842,162.380,186.000,83.140,9.705,447.067,5842.0,162380.0,186000.0,83140.0,9705.0,447067.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,13.047,115.923,131.109,22.112,3.566,285.757,13047.0,115923.0,131109.0,22112.0,3566.0,285757.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,13.233,156.847,209.662,32.703,12.645,425.090,13233.0,156847.0,209662.0,32703.0,12645.0,425090.0
