row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc Triệu VND","Máy móc, thiết bị Triệu VND","Phương tiện vận tải, truyền dẫn Triệu VND",Thiết bị văn phòng Triệu VND,Tài sản cố định khác Triệu VND,Tổng cộng Triệu VND,"numeric__Nhà cửa, vật kiến trúc Triệu VND","numeric__Máy móc, thiết bị Triệu VND","numeric__Phương tiện vận tải, truyền dẫn Triệu VND",numeric__Thiết bị văn phòng Triệu VND,numeric__Tài sản cố định khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,19.075,319.227,395.662,115.843,22.350,872.157,19075.0,319227.0,395662.0,115843.0,22350.0,872157.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,160.190,27.042,3.632,17.655,208.519,,160190.0,27042.0,3632.0,17655.0,208519.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(474),(100),(1.962),(108),(2.644),,-474.0,-100.0,-1962.0,-108.0,-2644.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,19.075,478.943,422.604,117.513,39.897,1.078.032,19075.0,478943.0,422604.0,117513.0,39897.0,1078032.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,5.842,162.380,186.000,83.140,9.705,447.067,5842.0,162380.0,186000.0,83140.0,9705.0,447067.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,870,31.375,37.508,11.433,2.787,83.973,870.0,31375.0,37508.0,11433.0,2787.0,83973.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(474),(100),(1.962),(108),(2.644),,-474.0,-100.0,-1962.0,-108.0,-2644.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,6.712,193.281,223.408,92.611,12.384,528.396,6712.0,193281.0,223408.0,92611.0,12384.0,528396.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,13.233,156.847,209.662,32.703,12.645,425.090,13233.0,156847.0,209662.0,32703.0,12645.0,425090.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,12.363,285.662,199.196,24.902,27.513,549.636,12363.0,285662.0,199196.0,24902.0,27513.0,549636.0
