row_label_raw,row_label_full,Tại ngày 31/12/2022,EUR quy đổi Triệu VND,USD quy đổi Triệu VND,Ngoại tệ khác quy đổi Triệu VND,Tổng cộng Triệu VND,numeric__EUR quy đổi Triệu VND,numeric__USD quy đổi Triệu VND,numeric__Ngoại tệ khác quy đổi Triệu VND,numeric__Tổng cộng Triệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,38.137,121.607,13.818,173.562,38137.0,121607.0,13818.0,173562.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,1.170.338,-,1.170.338,,1170338.0,,1170338.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,58.318,2.793.441,46.342,2.898.101,58318.0,2793441.0,46342.0,2898101.0
Công cụ tài chính phải sinh và tài sản tài chính khác,Tài sản > Công cụ tài chính phải sinh và tài sản tài chính khác,Công cụ tài chính phải sinh và tài sản tài chính khác,-,7.859.683,(2.971),7.856.712,,7859683.0,-2971.0,7856712.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,-,2.354.555,-,2.354.555,,2354555.0,,2354555.0
Tài sản có khác - gộp,Tài sản > Tài sản có khác - gộp,Tài sản có khác - gộp,379,492.802,2.967,496.148,379.0,492802.0,2967.0,496148.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,96.834,14.792.426,60.156,14.949.416,96834.0,14792426.0,60156.0,14949416.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Tiền gửi và vay từ các TCTD khác,Nợ phải trả > Tiền gửi và vay từ các TCTD khác,Tiền gửi và vay từ các TCTD khác,-,12.782.509,2.967,12.785.476,,12782509.0,2967.0,12785476.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,96.288,1.826.265,38.620,1.961.173,96288.0,1826265.0,38620.0,1961173.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,992,216.953,521,218.466,992.0,216953.0,521.0,218466.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,97.280,14.825.727,42.108,14.965.115,97280.0,14825727.0,42108.0,14965115.0
Trạng thái tiền tệ nội bằng,Nợ phải trả > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,(446),(33.301),18.048,(15.699),-446.0,-33301.0,18048.0,-15699.0
Trạng thái tiền tệ ngoại bằng,Trạng thái tiền tệ ngoại bằng,Trạng thái tiền tệ ngoại bằng,-,-,-,-,,,,
"Trạng thái tiền tệ nội, ngoại bằng","Trạng thái tiền tệ ngoại bằng > Trạng thái tiền tệ nội, ngoại bằng","Trạng thái tiền tệ nội, ngoại bằng",(446),(33.301),18.048,(15.699),-446.0,-33301.0,18048.0,-15699.0
