row_label_raw,row_label_full,Tên công ty,Giấy phép hoạt động,Lĩnh vực hoạt động,Tỷ lệ sở hữu,numeric__Giấy phép hoạt động,numeric__Lĩnh vực hoạt động,numeric__Tỷ lệ sở hữu
Công ty TNHH Một thành viên Quản lý nợ và Khai thác tài sản SeABank,Công ty TNHH Một thành viên Quản lý nợ và Khai thác tài sản SeABank,Công ty TNHH Một thành viên Quản lý nợ và Khai thác tài sản SeABank,0103099985 do Sở kế hoạch và Đầu tư Thành phố Hà Nội cấp ngày 16 tháng 12 năm 2008 và điều chỉnh gần đây nhất là ngày 15 tháng 8 năm 2023.,Quản lý nợ và khai thác tài sản,100%,,,1.0
Công ty Tài chính TNHH Một thành viên Bưu điện,Công ty Tài chính TNHH Một thành viên Bưu điện,Công ty Tài chính TNHH Một thành viên Bưu điện,96/GP-NHNN ngày 28 tháng 9 năm 2018 và sửa đổi bổ sung theo Quyết định số 50/QĐ-NHNN ngày 9 tháng 1 năm 2023 của Thống đốc NHNNVN.,Tài chính tiêu dùng,100%,,,1.0
