row_label_raw,row_label_full,col_0,Quyền sử dụng đất Triệu VND,Phần mềm máy vi tính Triệu VND,Tài sản cố định vô hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Quyền sử dụng đất Triệu VND,numeric__Phần mềm máy vi tính Triệu VND,numeric__Tài sản cố định vô hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,377.995,371.505,8.156,757.656,377995.0,371505.0,8156.0,757656.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,6.378,86.144,-,92.522,6378.0,86144.0,,92522.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.071),-,(1.071),,-1071.0,,-1071.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,384.373,456.578,8.156,849.107,384373.0,456578.0,8156.0,849107.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,-,158.449,3.974,162.423,,158449.0,3974.0,162423.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,-,31.165,688,31.853,,31165.0,688.0,31853.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.071),-,(1.071),,-1071.0,,-1071.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,-,188.543,4.662,193.205,,188543.0,4662.0,193205.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,377.995,213.056,4.182,595.233,377995.0,213056.0,4182.0,595233.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,384.373,268.035,3.494,655.902,384373.0,268035.0,3494.0,655902.0
