row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,31/12/2023Triệu VND,31/12/2022Triệu VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__31/12/2023Triệu VND,numeric__31/12/2022Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNNVN,,2.538.637,3.838.696,,,2538637.0,3838696.0
1,B > 1,1,"Tiền gửi và vay Chính phủ, NHNNVN",V.12,2.538.637,3.838.696,,,2538637.0,3838696.0
II,B > II,II,Tiền gửi và vay các TCTD khác,V.13,68.352.556,60.609.321,,,68352556.0,60609321.0
1,B > 1,1,Tiền gửi của các TCTD khác,,48.701.317,45.155.459,,,48701317.0,45155459.0
2,B > 2,2,Vay từ các TCTD khác,,19.651.239,15.453.862,,,19651239.0,15453862.0
III,B > III,III,Tiền gửi của khách hàng,V.14,145.225.061,115.550.779,,,145225061.0,115550779.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,V.15,107.131,14.963,,,107131.0,14963.0
VI,B > VI,VI,Phát hành giấy tờ có giá,V.16,16.846.100,21.504.600,,,16846100.0,21504600.0
VII,B > VII,VII,Các khoản nợ khác,V.17,4.766.757,4.409.402,,,4766757.0,4409402.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,3.769.648,3.644.040,,,3769648.0,3644040.0
3,B > 3,3,Các khoản phải trả và công nợ khác,,997.109,765.362,,,997109.0,765362.0
,,,TỔNG NỘ PHẢI TRẢ,,237.836.242,205.927.761,,,237836242.0,205927761.0
VIII,B > VIII,VIII,Vốn chủ sở hữu,V.18,30.338.788,26.240.707,,,30338788.0,26240707.0
1,B > 1,1,Vốn của TCTD,,25.063.167,21.607.167,,,25063167.0,21607167.0
a,B > a,a,- Vốn điều lệ,,24.957.000,20.402.983,,,24957000.0,20402983.0
c,B > c,c,- Thặng dư vốn cổ phần,,106.167,1.204.184,,,106167.0,1204184.0
2,B > 2,2,Quỹ của TCTD,,1.667.379,1.110.867,,,1667379.0,1110867.0
5,B > 5,5,Lợi nhuận chưa phân phối,,3.608.242,3.522.673,,,3608242.0,3522673.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,30.338.788,26.240.707,,,30338788.0,26240707.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,268.175.030,232.168.468,,,268175030.0,232168468.0
