row_label_raw,row_label_full,Tại ngày 31/12/2023(Triệu VND),Không nhạy cảm lãi suất,Quá hạn,Dưới 1 tháng,Từ 1-3 tháng,Từ trên 3-6 tháng,Từ trên 6-12 tháng,Từ trên 1-5 năm,Trên 5 năm,Tổng cộng,numeric__Không nhạy cảm lãi suất,numeric__Quá hạn,numeric__Dưới 1 tháng,numeric__Từ 1-3 tháng,numeric__Từ trên 3-6 tháng,numeric__Từ trên 6-12 tháng,numeric__Từ trên 1-5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,851.268,-,-,-,-,-,-,-,851.268,851268.0,,,,,,,,851268.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,2.784.593,-,-,-,-,-,-,-,2.784.593,2784593.0,,,,,,,,2784593.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,25.106.394,-,21.896.630,3.105.000,-,2.890.550,-,-,52.998.574,25106394.0,,21896630.0,3105000.0,,2890550.0,,,52998574.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,8.353.236,-,-,-,-,-,8.353.236,,,8353236.0,,,,,,8353236.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,-,4.715.871,45.003.609,68.881.181,39.474.332,14.497.087,3.404.606,101.257,176.077.943,,4715871.0,45003609.0,68881181.0,39474332.0,14497087.0,3404606.0,101257.0,176077943.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,319.364,42.002,250.000,311.002,9.996,6.153.449,7.187.042,14.272.855,,319364.0,42002.0,250000.0,311002.0,9996.0,6153449.0,7187042.0,14272855.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",2.319.070,-,-,-,-,-,-,-,2.319.070,2319070.0,,,,,,,,2319070.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,1.265.655,-,-,-,-,-,-,-,1.265.655,1265655.0,,,,,,,,1265655.0
Tài sản cố khác - gộp,Tài sản > Tài sản cố khác - gộp,Tài sản cố khác - gộp,12.137.095,,-,-,-,-,-,-,12.137.095,12137095.0,,,,,,,,12137095.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,44.464.075,5.035.235,75.295.477,72.236.181,39.785.334,17.397.633,9.558.055,7.288.299,271.060.289,44464075.0,5035235.0,75295477.0,72236181.0,39785334.0,17397633.0,9558055.0,7288299.0,271060289.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Nợ phải trả > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,-,-,439.123,28.361,68.086,2.003.067,-,-,2.538.637,,,439123.0,28361.0,68086.0,2003067.0,,,2538637.0
Tiền gửi và vay từ các TCTD khác,Nợ phải trả > Tiền gửi và vay từ các TCTD khác,Tiền gửi và vay từ các TCTD khác,25.758.417,-,21.159.449,3.338.524,1.150.304,3.966.762,8.127.100,4.852.000,68.352.556,25758417.0,,21159449.0,3338524.0,1150304.0,3966762.0,8127100.0,4852000.0,68352556.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,43.630.671,27.662.404,46.867.682,23.332.382,3.731.635,287,145.225.061,,,43630671.0,27662404.0,46867682.0,23332382.0,3731635.0,287.0,145225061.0
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,107.948,-,1.323,33,347,-,(2.520),-,107.131,107948.0,,1323.0,33.0,347.0,,-2520.0,,107131.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,2.610.200,1.960.400,9.624.300,2.651.200,-,16.846.100,,,,2610200.0,1960400.0,9624300.0,2651200.0,,16846100.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,4.766.757,-,-,-,-,-,-,-,4.766.757,4766757.0,,,,,,,,4766757.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,30.633.122,-,65.230.566,33.639.522,50.046.819,38.926.511,14.507.415,4.852.287,237.836.242,30633122.0,,65230566.0,33639522.0,50046819.0,38926511.0,14507415.0,4852287.0,237836242.0
Mức chênh lệch nhạy cảm với lãi suất nội bằng,Nợ phải trả > Mức chênh lệch nhạy cảm với lãi suất nội bằng,Mức chênh lệch nhạy cảm với lãi suất nội bằng,13.830.953,5.035.235,10.064.911,38.596.659,(10.261.485),(21.528.878),(4.949.360),2.436.012,33.224.047,13830953.0,5035235.0,10064911.0,38596659.0,-10261485.0,-21528878.0,-4949360.0,2436012.0,33224047.0
Mức chênh lệch nhạy cảm với lãi suất ngoại bằng,Nợ phải trả > Mức chênh lệch nhạy cảm với lãi suất ngoại bằng,Mức chênh lệch nhạy cảm với lãi suất ngoại bằng,-,-,-,-,-,-,2.520,-,2.520,,,,,,,2520.0,,2520.0
"Mức chênh lệch nhạy cảm với lãi suất nội, ngoại bằng","Nợ phải trả > Mức chênh lệch nhạy cảm với lãi suất nội, ngoại bằng","Mức chênh lệch nhạy cảm với lãi suất nội, ngoại bằng",13.830.953,5.035.235,10.064.911,38.596.659,(10.261.485),(21.528.878),(4.946.840),2.436.012,33.226.567,13830953.0,5035235.0,10064911.0,38596659.0,-10261485.0,-21528878.0,-4946840.0,2436012.0,33226567.0
