row_label_raw,row_label_full,Tổng công ty Máy động lực và Máy nông nghiệp Việt Nam - CTCP và các công ty con,Năm 2023Triệu VND > Tổng công ty Máy động lực và Máy nông nghiệp Việt Nam - CTCP và các công ty con,Năm 2022Triệu VND > Tổng công ty Máy động lực và Máy nông nghiệp Việt Nam - CTCP và các công ty con,numeric__Năm 2023Triệu VND > Tổng công ty Máy động lực và Máy nông nghiệp Việt Nam - CTCP và các công ty con,numeric__Năm 2022Triệu VND > Tổng công ty Máy động lực và Máy nông nghiệp Việt Nam - CTCP và các công ty con
Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,194.371,105.525,194371.0,105525.0
Thu nhập lãi cho vay,Thu nhập lãi cho vay,Thu nhập lãi cho vay,-,51,,51.0
Thu nhập từ phí bảo lãnh,Thu nhập từ phí bảo lãnh,Thu nhập từ phí bảo lãnh,4,10,4.0,10.0
Công ty Cổ phần Cho thuê Máy bay Việt Nam,Công ty Cổ phần Cho thuê Máy bay Việt Nam,Công ty Cổ phần Cho thuê Máy bay Việt Nam,Công ty Cổ phần Cho thuê Máy bay Việt Nam,Công ty Cổ phần Cho thuê Máy bay Việt Nam,,
Chi phí lãi tiền gửi,Công ty Cổ phần Cho thuê Máy bay Việt Nam > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,16.629,4.320,16629.0,4320.0
Công ty Cổ phần Đầu tư Phát triển Thành phố Thông minh Bắc Hà Nội,Công ty Cổ phần Đầu tư Phát triển Thành phố Thông minh Bắc Hà Nội,Công ty Cổ phần Đầu tư Phát triển Thành phố Thông minh Bắc Hà Nội,Công ty Cổ phần Đầu tư Phát triển Thành phố Thông minh Bắc Hà Nội,Công ty Cổ phần Đầu tư Phát triển Thành phố Thông minh Bắc Hà Nội,,
Chi phí lãi tiền gửi,Công ty Cổ phần Đầu tư Phát triển Thành phố Thông minh Bắc Hà Nội > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,153.742,82.472,153742.0,82472.0
,,,Năm 2023Triệu VND,Năm 2022Triệu VND,,
Thù lao của thành viên Hội đồng Quản trị,Công ty Cổ phần Đầu tư Phát triển Thành phố Thông minh Bắc Hà Nội > Thù lao của thành viên Hội đồng Quản trị,Thù lao của thành viên Hội đồng Quản trị,22.308,15.163,22308.0,15163.0
Chủ tịch HĐQT,Công ty Cổ phần Đầu tư Phát triển Thành phố Thông minh Bắc Hà Nội > Chủ tịch HĐQT,Chủ tịch HĐQT,6.000,4.390,6000.0,4390.0
Phó chủ tịch thường trực HĐQT,Công ty Cổ phần Đầu tư Phát triển Thành phố Thông minh Bắc Hà Nội > Phó chủ tịch thường trực HĐQT,Phó chủ tịch thường trực HĐQT,5.400,3.510,5400.0,3510.0
Phó chủ tịch HĐQT chuyên trách,Công ty Cổ phần Đầu tư Phát triển Thành phố Thông minh Bắc Hà Nội > Phó chủ tịch HĐQT chuyên trách,Phó chủ tịch HĐQT chuyên trách,4.800,2.620,4800.0,2620.0
Phó Chủ tịch HĐQT,Công ty Cổ phần Đầu tư Phát triển Thành phố Thông minh Bắc Hà Nội > Phó Chủ tịch HĐQT,Phó Chủ tịch HĐQT,2.319,1.080,2319.0,1080.0
Ngô Thị Nhài - thành viên HĐQT,Công ty Cổ phần Đầu tư Phát triển Thành phố Thông minh Bắc Hà Nội > Ngô Thị Nhài - thành viên HĐQT,Ngô Thị Nhài - thành viên HĐQT,1.297,1.188,1297.0,1188.0
Mathew Nevil Welch - thành viên HĐQT,Công ty Cổ phần Đầu tư Phát triển Thành phố Thông minh Bắc Hà Nội > Mathew Nevil Welch - thành viên HĐQT,Mathew Nevil Welch - thành viên HĐQT,1.184,800,1184.0,800.0
Fergus Mardonald Clark - thành viên HĐQT độc lập,Công ty Cổ phần Đầu tư Phát triển Thành phố Thông minh Bắc Hà Nội > Fergus Mardonald Clark - thành viên HĐQT độc lập,Fergus Mardonald Clark - thành viên HĐQT độc lập,948,-,948.0,
Hoàng Minh Tân - thành viên HĐQT,Công ty Cổ phần Đầu tư Phát triển Thành phố Thông minh Bắc Hà Nội > Hoàng Minh Tân - thành viên HĐQT,Hoàng Minh Tân - thành viên HĐQT,180,540,180.0,540.0
Bùi Trung Kiên - thành viên HĐQT,Công ty Cổ phần Đầu tư Phát triển Thành phố Thông minh Bắc Hà Nội > Bùi Trung Kiên - thành viên HĐQT,Bùi Trung Kiên - thành viên HĐQT,180,540,180.0,540.0
Mr Faussier Loic Michel Marc,Công ty Cổ phần Đầu tư Phát triển Thành phố Thông minh Bắc Hà Nội > Mr Faussier Loic Michel Marc,Mr Faussier Loic Michel Marc,-,495,,495.0
Thù lao của Ban Kiểm soát,Công ty Cổ phần Đầu tư Phát triển Thành phố Thông minh Bắc Hà Nội > Thù lao của Ban Kiểm soát,Thù lao của Ban Kiểm soát,3.846,2.160,3846.0,2160.0
"Tiền lương, thưởng và phúc lợi khác của Tổng Giám đốc và người quản lý khác","Công ty Cổ phần Đầu tư Phát triển Thành phố Thông minh Bắc Hà Nội > Tiền lương, thưởng và phúc lợi khác của Tổng Giám đốc và người quản lý khác","Tiền lương, thưởng và phúc lợi khác của Tổng Giám đốc và người quản lý khác",31.497,29.083,31497.0,29083.0
