row_label_raw,row_label_full,col_0,1/1/2018 VND,Thuế GTGT đầu ra VND,Số phát sinh trong năm VND,Số đã nộp/ được hoàn trong năm VND,Bù trừ với thuế GTGT đầu vào/ số phải thu VND,31/12/2018 VND,numeric__1/1/2018 VND,numeric__Thuế GTGT đầu ra VND,numeric__Số phát sinh trong năm VND,numeric__Số đã nộp/ được hoàn trong năm VND,numeric__Bù trừ với thuế GTGT đầu vào/ số phải thu VND,numeric__31/12/2018 VND
Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,,,,,,
Thuế GTGT hàng bán nội địa,Thuế > Thuế GTGT hàng bán nội địa,Thuế GTGT hàng bán nội địa,-,34.238.650.436,-,(1.167.898.173),(32.275.480.786),795.271.477,,34238650436.0,,-1167898173.0,-32275480786.0,795271477.0
Văn phòng,Thuế > Văn phòng,Văn phòng,-,17.013.739.134,-,-,(17.013.739.134),-,,17013739134.0,,,-17013739134.0,
Chi nhánh văn phòng Hồ Chí Minh,Thuế > Chi nhánh văn phòng Hồ Chí Minh,Chi nhánh văn phòng Hồ Chí Minh,-,1.321.726.210,-,-,(1.321.726.210),-,,1321726210.0,,,-1321726210.0,
Nhà máy Sợi Phú Hưng,Thuế > Nhà máy Sợi Phú Hưng,Nhà máy Sợi Phú Hưng,-,1.701.166.832,-,-,(1.701.166.832),-,,1701166832.0,,,-1701166832.0,
Nhà máy Sợi Phú Cường,Thuế > Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,-,5.963.636.031,-,(4.159.079),(5.959.476.952),-,,5963636031.0,,-4159079.0,-5959476952.0,
Xí nghiệp May Vinatex Quảng Ngãi,Thuế > Xí nghiệp May Vinatex Quảng Ngãi,Xí nghiệp May Vinatex Quảng Ngãi,-,24.846.757,-,-,(24.846.757),-,,24846757.0,,,-24846757.0,
Nhà máy Sản xuất Vải Yarn Dyed,Thuế > Nhà máy Sản xuất Vải Yarn Dyed,Nhà máy Sản xuất Vải Yarn Dyed,-,4.915.574.283,-,-,(4.915.574.283),-,,4915574283.0,,,-4915574283.0,
Nhà máy Sợi Nam Định,Thuế > Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,-,952.255.381,-,-,(952.255.381),-,,952255381.0,,,-952255381.0,
Trung tâm Thời trang Vinatex,Thuế > Trung tâm Thời trang Vinatex,Trung tâm Thời trang Vinatex,-,2.345.705.808,-,(1.163.739.094),(386.695.237),795.271.477,,2345705808.0,,-1163739094.0,-386695237.0,795271477.0
Thuế GTGT hàng nhập khẩu,Thuế > Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,-,-,1.158.995.295,(1.158.995.295),-,-,,,1158995295.0,-1158995295.0,,
Văn phòng,Thuế > Văn phòng,Văn phòng,-,-,468.238.750,(468.238.750),-,-,,,468238750.0,-468238750.0,,
Nhà máy Sợi Phú Hưng,Thuế > Nhà máy Sợi Phú Hưng,Nhà máy Sợi Phú Hưng,-,-,3.627.419,(3.627.419),-,-,,,3627419.0,-3627419.0,,
Nhà máy Sợi Nam Định,Thuế > Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,-,-,596.286.407,(596.286.407),-,-,,,596286407.0,-596286407.0,,
Nhà máy Sợi Phú Cường,Thuế > Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,-,-,90.842.719,(90.842.719),-,-,,,90842719.0,-90842719.0,,
