row_label_raw,row_label_full,col_0,1/1/2018 VND,Thuế GTGT đầu ra VND,Số phát sinh trong năm VND,Số đã nộp/ được hoàn trong năm VND,Bù trừ với thuế GTGT đầu vào/ số phải thu VND,31/12/2018 VND,numeric__1/1/2018 VND,numeric__Thuế GTGT đầu ra VND,numeric__Số phát sinh trong năm VND,numeric__Số đã nộp/ được hoàn trong năm VND,numeric__Bù trừ với thuế GTGT đầu vào/ số phải thu VND,numeric__31/12/2018 VND
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,296.053.511,-,3.381.258.410,(3.382.991.555),-,294.320.366,296053511.0,,3381258410.0,-3382991555.0,,294320366.0
+ Thuế môn bài,+ Thuế môn bài,+ Thuế môn bài,-,-,63.091.450,(63.091.450),-,-,,,63091450.0,-63091450.0,,
Văn phòng Hà Nội,Văn phòng Hà Nội,Văn phòng Hà Nội,-,-,32.045.725,(32.045.725),-,-,,,32045725.0,-32045725.0,,
Nhà máy Sợi Phú Hưng,Nhà máy Sợi Phú Hưng,Nhà máy Sợi Phú Hưng,-,-,26.045.725,(26.045.725),-,-,,,26045725.0,-26045725.0,,
Trung tâm XLNT KCN Đệt May Phố Nói,Trung tâm XLNT KCN Đệt May Phố Nói,Trung tâm XLNT KCN Đệt May Phố Nói,-,-,1.000.000,(1.000.000),-,-,,,1000000.0,-1000000.0,,
Xí nghiệp May Vinatex Quảng Ngãi,Xí nghiệp May Vinatex Quảng Ngãi,Xí nghiệp May Vinatex Quảng Ngãi,-,-,1.000.000,(1.000.000),-,-,,,1000000.0,-1000000.0,,
Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,-,-,1.000.000,(1.000.000),-,-,,,1000000.0,-1000000.0,,
Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,-,-,1.000.000,(1.000.000),-,-,,,1000000.0,-1000000.0,,
Nhà máy May Vinatex Kiên Giang,Nhà máy May Vinatex Kiên Giang,Nhà máy May Vinatex Kiên Giang,-,-,1.000.000,(1.000.000),-,-,,,1000000.0,-1000000.0,,
+ Thuế thu nhập cá nhân,+ Thuế thu nhập cá nhân,+ Thuế thu nhập cá nhân,296.053.511,-,3.318.166.960,(3.319.900.105),-,294.320.366,296053511.0,,3318166960.0,-3319900105.0,,294320366.0
Văn phòng,Văn phòng,Văn phòng,194.053.311,-,3.017.995.929,(2.942.523.369),-,269.525.871,194053311.0,,3017995929.0,-2942523369.0,,269525871.0
Nhà máy Sợi Phú Hưng,Nhà máy Sợi Phú Hưng,Nhà máy Sợi Phú Hưng,70.907.887,-,188.495.178,(259.403.065),-,-,70907887.0,,188495178.0,-259403065.0,,
Nhà máy Sản xuất Vải Yarn Dyed,Nhà máy Sản xuất Vải Yarn Dyed,Nhà máy Sản xuất Vải Yarn Dyed,15.965.805,-,12.222.621,(28.188.426),-,-,15965805.0,,12222621.0,-28188426.0,,
Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,4.306.804,-,54.560.326,(52.674.923),-,6.192.207,4306804.0,,54560326.0,-52674923.0,,6192207.0
Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,10.819.704,-,35.626.777,(31.865.974),-,14.580.507,10819704.0,,35626777.0,-31865974.0,,14580507.0
Trung tâm Thời trang Vinatex,Trung tâm Thời trang Vinatex,Trung tâm Thời trang Vinatex,-,-,9.266.129,(5.244.348),-,4.021.781,,,9266129.0,-5244348.0,,4021781.0
Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,,,,,,
Tiền thuê đất,Các khoản phải nộp khác > Tiền thuê đất,Tiền thuê đất,-,-,6.991.013.587,(6.991.013.587),-,-,,,6991013587.0,-6991013587.0,,
Văn phòng Hà Nội,Các khoản phải nộp khác > Văn phòng Hà Nội,Văn phòng Hà Nội,-,-,4.297.151.612,(4.297.151.612),-,-,,,4297151612.0,-4297151612.0,,
Văn phòng Hồ Chí Minh,Các khoản phải nộp khác > Văn phòng Hồ Chí Minh,Văn phòng Hồ Chí Minh,-,-,2.693.861.975,(2.693.861.975),-,-,,,2693861975.0,-2693861975.0,,
,,,296.053.511,34.238.650.436,11.531.267.292,(12.700.898.610),(32.275.480.786),1.089.591.843,296053511.0,34238650436.0,11531267292.0,-12700898610.0,-32275480786.0,1089591843.0
