row_label_raw,row_label_full,col_0,1/1/2018VND,Số đã nộp trong năm VND,Số phát sinh/ đã thu được trong năm VND,31/12/2018VND,numeric__1/1/2018VND,numeric__Số đã nộp trong năm VND,numeric__Số phát sinh/ đã thu được trong năm VND,numeric__31/12/2018VND
Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,,,,
Thuế thu nhập doanh nghiệp,Thuế > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,220.220.199,-,-,220.220.199,220220199.0,,,220220199.0
Văn phòng,Thuế > Văn phòng,Văn phòng,220.220.199,-,-,220.220.199,220220199.0,,,220220199.0
"Thuế xuất, nhập khẩu","Thuế > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",410.596.069,49.417.768,(404.555.442),55.458.395,410596069.0,49417768.0,-404555442.0,55458395.0
Văn phòng,Thuế > Văn phòng,Văn phòng,52.763.159,-,-,52.763.159,52763159.0,,,52763159.0
Chi nhánh Văn phòng Hồ Chí Minh,Thuế > Chi nhánh Văn phòng Hồ Chí Minh,Chi nhánh Văn phòng Hồ Chí Minh,357.832.910,-,(357.832.910),-,357832910.0,,-357832910.0,
Nhà máy Sợi Phú Hưng,Thuế > Nhà máy Sợi Phú Hưng,Nhà máy Sợi Phú Hưng,-,1.056.530,(1.056.530),-,,1056530.0,-1056530.0,
Nhà máy Sợi Nam Định,Thuế > Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,-,8.112.235,(8.112.235),-,,8112235.0,-8112235.0,
Nhà máy Sợi Phú Cường,Thuế > Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,-,40.249.003,(37.553.767),2.695.236,,40249003.0,-37553767.0,2695236.0
Thuế thu nhập cá nhân,Thuế > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,338.681,44.422.691,(44.761.372),-,338681.0,44422691.0,-44761372.0,
Chi nhánh Văn phòng Hồ Chí Minh,Thuế > Chi nhánh Văn phòng Hồ Chí Minh,Chi nhánh Văn phòng Hồ Chí Minh,338.681,44.422.691,(44.761.372),-,338681.0,44422691.0,-44761372.0,
Thuế môn bài,Thuế > Thuế môn bài,Thuế môn bài,-,3.000.000,(1.000.000),2.000.000,,3000000.0,-1000000.0,2000000.0
Trung tâm Thời trang Vinatex,Thuế > Trung tâm Thời trang Vinatex,Trung tâm Thời trang Vinatex,-,3.000.000,(1.000.000),2.000.000,,3000000.0,-1000000.0,2000000.0
,,,631.154.949,96.840.459,(450.316.814),277.678.594,631154949.0,96840459.0,-450316814.0,277678594.0
