row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.170.973.230.000,211.326.226.000,444.923.461.897,979.093.579.631,3.806.316.497.528,2170973230000.0,211326226000.0,444923461897.0,979093579631.0,3806316497528.0
Tăng vốn điều lệ từ phát hành cổ phiếu,Tăng vốn điều lệ từ phát hành cổ phiếu,Tăng vốn điều lệ từ phát hành cổ phiếu,347.351.860.000,-,-,(347.351.860.000),-,347351860000.0,,,-347351860000.0,
Lợi nhuận trong năm trước,Lợi nhuận trong năm trước,Lợi nhuận trong năm trước,-,-,-,371.845.725.142,371.845.725.142,,,,371845725142.0,371845725142.0
Trích lập các quỹ trong năm trước,Trích lập các quỹ trong năm trước,Trích lập các quỹ trong năm trước,-,-,148.101.290.762,(174.019.039.222),(25.917.748.460),,,148101290762.0,-174019039222.0,-25917748460.0
"Chia cổ tức, lợi nhuận trong năm trước","Chia cổ tức, lợi nhuận trong năm trước","Chia cổ tức, lợi nhuận trong năm trước",-,-,-,(352.565.512.600),(352.565.512.600),,,,-352565512600.0,-352565512600.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,2.518.325.090.000,211.326.226.000,593.024.752.659,477.002.892.951,3.799.678.961.610,2518325090000.0,211326226000.0,593024752659.0,477002892951.0,3799678961610.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,2.518.325.090.000,211.326.226.000,593.024.752.659,477.002.892.951,3.799.678.961.610,2518325090000.0,211326226000.0,593024752659.0,477002892951.0,3799678961610.0
Tăng vốn điều lệ từ phát hành cổ phiếu,Tăng vốn điều lệ từ phát hành cổ phiếu,Tăng vốn điều lệ từ phát hành cổ phiếu,1.259.158.750.000,-,-,-,1.259.158.750.000,1259158750000.0,,,,1259158750000.0
Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,-,-,-,243.608.556.298,243.608.556.298,,,,243608556298.0,243608556298.0
Trích lập các quỹ trong năm nay,Trích lập các quỹ trong năm nay,Trích lập các quỹ trong năm nay,-,-,111.553.717.543,(130.146.003.800),(18.592.286.257),,,111553717543.0,-130146003800.0,-18592286257.0
"Chia cổ tức, lợi nhuận","Chia cổ tức, lợi nhuận","Chia cổ tức, lợi nhuận",-,-,-,(264.423.868.800),(264.423.868.800),,,,-264423868800.0,-264423868800.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.777.483.840.000,211.326.226.000,704.578.470.202,326.041.576.649,5.019.430.112.851,3777483840000.0,211326226000.0,704578470202.0,326041576649.0,5019430112851.0
