row_label_raw,row_label_full,col_0,Chức danh,Tiền lương,Thường,Thù lao,Cộng thu nhập,numeric__Chức danh,numeric__Tiền lương,numeric__Thường,numeric__Thù lao,numeric__Cộng thu nhập
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Ông Đỗ Quang Ngôn,Năm nay > Ông Đỗ Quang Ngôn,Ông Đỗ Quang Ngôn,Chủ tịch HDQT,900.000.000,525.000.000,398.400.000,1.823.400.000,,900000000.0,525000000.0,398400000.0,1823400000.0
Ông Đỗ Quang Ngôn,Ông Đỗ Quang Ngôn,Ông Đỗ Quang Ngôn,Phó Chủ tịch,,,,,,,,,
Ông Quảng Văn Việt Cương,Ông Đỗ Quang Ngôn > Ông Quảng Văn Việt Cương,Ông Quảng Văn Việt Cương,HDQT,-,-,318.700.000,318.700.000,,,,318700000.0,318700000.0
Bà Lê Thị Xuân Diệu,Ông Đỗ Quang Ngôn > Bà Lê Thị Xuân Diệu,Bà Lê Thị Xuân Diệu,Thành viên HDQT,-,-,185.900.000,185.900.000,,,,185900000.0,185900000.0
Ông Trần Thiện Thế,Ông Đỗ Quang Ngôn > Ông Trần Thiện Thế,Ông Trần Thiện Thế,Thành viên HDQT,-,-,185.900.000,185.900.000,,,,185900000.0,185900000.0
Ông Trần Thiện Thế,Ông Đỗ Quang Ngôn > Ông Trần Thiện Thế,Ông Trần Thiện Thế,Trường Ban Kiểm soát,-,-,185.900.000,185.900.000,,,,185900000.0,185900000.0
Ông Nguyễn Hải Hoàng,Ông Đỗ Quang Ngôn > Ông Nguyễn Hải Hoàng,Ông Nguyễn Hải Hoàng,Thành viên Ban Kiểm soát,-,-,132.800.000,132.800.000,,,,132800000.0,132800000.0
Bà Lê Thị Thủy Dương,Ông Đỗ Quang Ngôn > Bà Lê Thị Thủy Dương,Bà Lê Thị Thủy Dương,Thành viên Ban Kiểm soát,-,-,132.800.000,132.800.000,,,,132800000.0,132800000.0
Bà Châu Thị Văn,Ông Đỗ Quang Ngôn > Bà Châu Thị Văn,Bà Châu Thị Văn,Tổng Giám đốc,840.000.000,490.000.000,-,1.330.000.000,,840000000.0,490000000.0,,1330000000.0
Ông Trịnh Thanh Hùng,Ông Trịnh Thanh Hùng,Ông Trịnh Thanh Hùng,Thành viên HDQT,,,,,,,,,
Bà Võ Thị Huyền Trang,Ông Trịnh Thanh Hùng > Bà Võ Thị Huyền Trang,Bà Võ Thị Huyền Trang,Phó Tổng Giám đốc,660.000.000,385.000.000,185.900.000,1.230.900.000,,660000000.0,385000000.0,185900000.0,1230900000.0
Ông Trần Ngọc Hiền,Ông Trịnh Thanh Hùng > Ông Trần Ngọc Hiền,Ông Trần Ngọc Hiền,Phó Tổng Giám đốc,660.000.000,385.000.000,-,1.045.000.000,,660000000.0,385000000.0,,1045000000.0
Ông Vũ Phi Hùng,Ông Trịnh Thanh Hùng > Ông Vũ Phi Hùng,Ông Vũ Phi Hùng,Phó Tổng Giám đốc,214.545.455,110.000.000,-,324.545.455,,214545455.0,110000000.0,,324545455.0
Bà Bùi Thị Thủy,Ông Trịnh Thanh Hùng > Bà Bùi Thị Thủy,Bà Bùi Thị Thủy,Kế toán trường,660.000.000,385.000.000,-,1.045.000.000,,660000000.0,385000000.0,,1045000000.0
Cộng,Ông Trịnh Thanh Hùng > Cộng,Cộng,,3.934.545.455,2.280.000.000,1.726.300.000,7.940.845.455,,3934545455.0,2280000000.0,1726300000.0,7940845455.0
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Ông Đỗ Quang Ngôn,Năm trước > Ông Đỗ Quang Ngôn,Ông Đỗ Quang Ngôn,Chủ tịch HDQT,900.000.000,375.000.000,528.900.000,1.803.900.000,,900000000.0,375000000.0,528900000.0,1803900000.0
Ông Đỗ Quang Ngôn,Ông Đỗ Quang Ngôn,Ông Đỗ Quang Ngôn,Phó Chủ tịch,,,,,,,,,
Ông Quảng Văn Việt Cương,Ông Đỗ Quang Ngôn > Ông Quảng Văn Việt Cương,Ông Quảng Văn Việt Cương,HDQT,-,-,423.100.000,423.100.000,,,,423100000.0,423100000.0
Ông Quảng Văn Việt Cương,Ông Quảng Văn Việt Cương,Ông Quảng Văn Việt Cương,Thành viên HDQT(bố nhiệm từ ngày 07/4/2023),-,-,-,-,,,,,
Bà Lê Thị Xuân Diệu,Ông Quảng Văn Việt Cương > Bà Lê Thị Xuân Diệu,Bà Lê Thị Xuân Diệu,Thành viên HDQT(miễn nhiệm từ ngày 07/4/2023),-,-,246.800.000,246.800.000,,,,246800000.0,246800000.0
Ông Lê Đức Thịnh,Ông Quảng Văn Việt Cương > Ông Lê Đức Thịnh,Ông Lê Đức Thịnh,Thành viên HDQT,-,-,246.800.000,246.800.000,,,,246800000.0,246800000.0
Ông Trần Thiện Thế,Ông Quảng Văn Việt Cương > Ông Trần Thiện Thế,Ông Trần Thiện Thế,Trường Ban Kiểm soát,-,-,246.800.000,246.800.000,,,,246800000.0,246800000.0
Ông Nguyễn Hải Hoàng,Ông Quảng Văn Việt Cương > Ông Nguyễn Hải Hoàng,Ông Nguyễn Hải Hoàng,Thành viên Ban Kiểm soát,-,-,176.300.000,176.300.000,,,,176300000.0,176300000.0
Bà Lê Thị Thủy Dương,Ông Quảng Văn Việt Cương > Bà Lê Thị Thủy Dương,Bà Lê Thị Thủy Dương,Thành viên Ban Kiểm soát,-,-,176.300.000,176.300.000,,,,176300000.0,176300000.0
Bà Châu Thị Văn,Ông Quảng Văn Việt Cương > Bà Châu Thị Văn,Bà Châu Thị Văn,Tổng Giám đốc,840.000.000,618.000.000,-,1.458.000.000,,840000000.0,618000000.0,,1458000000.0
Ông Trịnh Thanh Hùng,Ông Quảng Văn Việt Cương > Ông Trịnh Thanh Hùng,Ông Trịnh Thanh Hùng,Thành viên HDQT,660.000.000,452.000.000,246.800.000,1.358.800.000,,660000000.0,452000000.0,246800000.0,1358800000.0
Bà Võ Thị Huyền Trang,Ông Quảng Văn Việt Cương > Bà Võ Thị Huyền Trang,Bà Võ Thị Huyền Trang,Phó Tổng Giám đốc,660.000.000,452.000.000,-,1.112.000.000,,660000000.0,452000000.0,,1112000000.0
Ông Trần Ngọc Hiền,Ông Quảng Văn Việt Cương > Ông Trần Ngọc Hiền,Ông Trần Ngọc Hiền,Phó Tổng Giám đốc,660.000.000,452.000.000,-,1.112.000.000,,660000000.0,452000000.0,,1112000000.0
Bà Bùi Thị Thủy,Ông Quảng Văn Việt Cương > Bà Bùi Thị Thủy,Bà Bùi Thị Thủy,Kế toán trường,660.000.000,452.000.000,-,1.112.000.000,,660000000.0,452000000.0,,1112000000.0
Cộng,Ông Quảng Văn Việt Cương > Cộng,Cộng,,3.720.000.000,2.349.000.000,2.291.800.000,8.360.800.000,,3720000000.0,2349000000.0,2291800000.0,8360800000.0
