row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số dâu năm > Giá trị,Số dâu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Số dâu năm > Giá trị,numeric__Số dâu năm > Dự phòng
Phải thu các bên liên quan,Phải thu các bên liên quan,Phải thu các bên liên quan,60.406.784.945,,37.933.122.077,,60406784945.0,,37933122077.0,
Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP - Phải thu tiền lợi nhuận được chia từ Dự án Becamex City Center,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP - Phải thu tiền lợi nhuận được chia từ Dự án Becamex City Center,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP - Phải thu tiền lợi nhuận được chia từ Dự án Becamex City Center,27.703.478.871,,16.185.034.893,,27703478871.0,,16185034893.0,
Công ty TNHH MTV Khách sạn Becamex - Phải thu tiền cổ tức,Công ty TNHH MTV Khách sạn Becamex - Phải thu tiền cổ tức,Công ty TNHH MTV Khách sạn Becamex - Phải thu tiền cổ tức,24.551.109.523,,13.991.140.423,,24551109523.0,,13991140423.0,
Công ty TNHH MTV Thương mạiBecamex - Phải thu tiền cổ tức,Công ty TNHH MTV Thương mạiBecamex - Phải thu tiền cổ tức,Công ty TNHH MTV Thương mạiBecamex - Phải thu tiền cổ tức,4.093.959.869,,4.180.837.147,,4093959869.0,,4180837147.0,
Công ty TNHH MTV Thương mạiBecamex - Phải thu tiền phí bảo hiểm cháy nổ,Công ty TNHH MTV Thương mạiBecamex - Phải thu tiền phí bảo hiểm cháy nổ,Công ty TNHH MTV Thương mạiBecamex - Phải thu tiền phí bảo hiểm cháy nổ,4.603.153,,,,4603153.0,,,
Công ty TNHH MTV WTC Bình Dương - Phải thu tiền cổ tức,Công ty TNHH MTV WTC Bình Dương - Phải thu tiền cổ tức,Công ty TNHH MTV WTC Bình Dương - Phải thu tiền cổ tức,4.053.633.529,,3.576.109.614,,4053633529.0,,3576109614.0,
Phải thu các tổ chức và cá nhân khác,Phải thu các tổ chức và cá nhân khác,Phải thu các tổ chức và cá nhân khác,5.726.444.675,,6.710.004.451,,5726444675.0,,6710004451.0,
Thuế thu nhập doanh nghiệp tạm nộp cho số tiền nhận trước từ hoạt động chuyển nhượng bất động sản,Thuế thu nhập doanh nghiệp tạm nộp cho số tiền nhận trước từ hoạt động chuyển nhượng bất động sản,Thuế thu nhập doanh nghiệp tạm nộp cho số tiền nhận trước từ hoạt động chuyển nhượng bất động sản,119.040.732,,79.545.185,,119040732.0,,79545185.0,
Tạm ứng công tác,Tạm ứng công tác,Tạm ứng công tác,420.685.267,,540.514.688,,420685267.0,,540514688.0,
"Ký quỹ, ký cược ngắn hạn","Ký quỹ, ký cược ngắn hạn","Ký quỹ, ký cược ngắn hạn",40.000.000,,40.000.000,,40000000.0,,40000000.0,
Lãi dự thu,Lãi dự thu,Lãi dự thu,29.397.260,,53.260.274,,29397260.0,,53260274.0,
Phải thu tiền chi hộ làm số cho khách hàng,Phải thu tiền chi hộ làm số cho khách hàng,Phải thu tiền chi hộ làm số cho khách hàng,1.716.023.684,,2.572.636.111,,1716023684.0,,2572636111.0,
Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,3.401.297.732,,3.424.048.193,,3401297732.0,,3424048193.0,
Cộng,Cộng,Cộng,66.133.229.620,,44.643.126.528,,66133229620.0,,44643126528.0,
