row_label_raw,row_label_full,col_0,Lĩnh vực bán vế câu dưỡng,Lĩnh vực kinh doanh bất động sản,Lĩnh vực kinh doanh bất động sản đầu tư,Lĩnh vực xây dựng,Hợp đồng hợp tác kinh doanh,Các lĩnh vực khác,Cộng,numeric__Lĩnh vực bán vế câu dưỡng,numeric__Lĩnh vực kinh doanh bất động sản,numeric__Lĩnh vực kinh doanh bất động sản đầu tư,numeric__Lĩnh vực xây dựng,numeric__Hợp đồng hợp tác kinh doanh,numeric__Các lĩnh vực khác,numeric__Cộng
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,,,,,
Tài sản trực tiếp của bộ phận,Số cuối năm > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,550.866.415.914,5.132.297.038.865,485.640.293.967,-,501.305.540.832,9.386.070.002,6.679.495.359.580,550866415914.0,5132297038865.0,485640293967.0,,501305540832.0,9386070002.0,6679495359580.0
Các tài sản không phân bổ theo bộ phận,Số cuối năm > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,,,,969.330.164.598,,,,,,,969330164598.0
Tổng tài sản,Số cuối năm > Tổng tài sản,Tổng tài sản,,,,,,,7.648.825.524.178,,,,,,,7648825524178.0
Nợ phải trả trực tiếp của bộ phận,Số cuối năm > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,55.725.820.900,1.509.977.758.309,15.856.300.000,-,-,6.889.276.201,1.588.449.155.410,55725820900.0,1509977758309.0,15856300000.0,,,6889276201.0,1588449155410.0
Nợ phải trả không phân bổ theo bộ phận,Số cuối năm > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,,,,1.040.946.255.917,,,,,,,1040946255917.0
Tổng nợ phải trả,Số cuối năm > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,2.629.395.411.327,,,,,,,2629395411327.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,,
Tài sản trực tiếp của bộ phận,Số đầu năm > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,571.179.683.212,4.234.944.128.535,372.055.044.145,-,494.297.293.955,16.301.950.624,5.688.778.100.471,571179683212.0,4234944128535.0,372055044145.0,,494297293955.0,16301950624.0,5688778100471.0
Các tài sản không phân bổ theo bộ phận,Số đầu năm > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,,,,612.522.577.971,,,,,,,612522577971.0
Tổng tài sản,Số đầu năm > Tổng tài sản,Tổng tài sản,,,,,,,6.301.300.678.442,,,,,,,6301300678442.0
Nợ phải trả trực tiếp của bộ phận,Số đầu năm > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,152.313.111.058,1.055.238.237.108,205.053.897.479,4.172.026.410,-,-,1.416.777.272.055,152313111058.0,1055238237108.0,205053897479.0,4172026410.0,,,1416777272055.0
Nợ phải trả không phân bổ theo bộ phận,Số đầu năm > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,,,,1.084.844.444.777,,,,,,,1084844444777.0
Tổng nợ phải trả,Số đầu năm > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,2.501.621.716.832,,,,,,,2501621716832.0
