row_label_raw,row_label_full,Số đầu năm > Mua trong năm > Khấu hao trong năm,Nguyên giá > 25.340.800.782 > 325.970.544,Hao mòn lũy kế > 11.214.215.902 > 2.464.587.102,Giá trị còn lại > 14.126.584.880,numeric__Nguyên giá > 25.340.800.782 > 325.970.544,numeric__Hao mòn lũy kế > 11.214.215.902 > 2.464.587.102,numeric__Giá trị còn lại > 14.126.584.880
"Thanh lý, nhượng bán","Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.290.446.664),(1.267.730.296),,-1290446664.0,-1267730296.0,
Số cuối năm,Số cuối năm,Số cuối năm,24.376.324.662,12.411.072.708,11.965.251.954,24376324662.0,12411072708.0,11965251954.0
