row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc",Máy móc và thiết bị,"Phương tiện vận tải, truyền dẫn","Thiết bị, dụng cụ quản lý",Cộng,"numeric__Nhà cửa, vật kiến trúc",numeric__Máy móc và thiết bị,"numeric__Phương tiện vận tải, truyền dẫn","numeric__Thiết bị, dụng cụ quản lý",numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,1.012.609.122.563,1.966.310.625,14.206.894.469,104.243.673.018,1.133.026.000.675,1012609122563.0,1966310625.0,14206894469.0,104243673018.0,1133026000675.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,17.303.989.545,-,-,7.614.750.275,24.918.739.820,17303989545.0,,,7614750275.0,24918739820.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,10.030.285.020,-,-,-,10.030.285.020,10030285020.0,,,,10030285020.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(25.780.674.157),-,(455.626.455),(3.924.508.544),(30.160.809.156),-25780674157.0,,-455626455.0,-3924508544.0,-30160809156.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,1.014.162.722.971,1.966.310.625,13.751.268.014,107.933.914.749,1.137.814.216.359,1014162722971.0,1966310625.0,13751268014.0,107933914749.0,1137814216359.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết nhưng vẫn còn sử dụng,Trong đó: > Đã khấu hao hết nhưng vẫn còn sử dụng,Đã khấu hao hết nhưng vẫn còn sử dụng,23.843.295.036,1.361.365.440,4.277.800.429,26.928.870.727,56.411.331.632,23843295036.0,1361365440.0,4277800429.0,26928870727.0,56411331632.0
Chờ thanh lý,Chờ thanh lý,Chờ thanh lý,-,-,-,-,-,,,,,
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,,,
Số đầu năm,Giá trị hao mòn > Số đầu năm,Số đầu năm,525.869.269.419,1.579.004.544,8.015.847.665,46.438.235.097,581.902.356.725,525869269419.0,1579004544.0,8015847665.0,46438235097.0,581902356725.0
Khấu hao trong năm,Giá trị hao mòn > Khấu hao trong năm,Khấu hao trong năm,40.223.002.243,106.489.044,1.063.260.432,7.394.413.075,48.787.164.794,40223002243.0,106489044.0,1063260432.0,7394413075.0,48787164794.0
"Thanh lý, nhượng bán","Giá trị hao mòn > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(6.093.314.111),-,(455.626.455),(3.879.545.802),(10.428.486.368),-6093314111.0,,-455626455.0,-3879545802.0,-10428486368.0
Số cuối năm,Giá trị hao mòn > Số cuối năm,Số cuối năm,559.998.957.551,1.685.493.588,8.623.481.642,49.953.102.370,620.261.035.151,559998957551.0,1685493588.0,8623481642.0,49953102370.0,620261035151.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,486.739.853.144,387.306.081,6.191.046.804,57.805.437.921,551.123.643.950,486739853144.0,387306081.0,6191046804.0,57805437921.0,551123643950.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,454.163.765.420,280.817.037,5.127.786.372,57.980.812.379,517.553.181.208,454163765420.0,280817037.0,5127786372.0,57980812379.0,517553181208.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Tạm thời chưa sử dụng,Tạm thời chưa sử dụng,Tạm thời chưa sử dụng,-,-,-,-,-,,,,,
Đang chờ thanh lý,Đang chờ thanh lý,Đang chờ thanh lý,-,-,-,-,-,,,,,
