row_label_raw,row_label_full,col_0,Số đầu năm,Tăng do trích lập từ lợi nhuận,Chi quỹ trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Tăng do trích lập từ lợi nhuận,numeric__Chi quỹ trong năm,numeric__Số cuối năm
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",47.204.303.760,18.592.286.257,(17.478.858.334),48.317.731.683,47204303760.0,18592286257.0,-17478858334.0,48317731683.0
"Quỹ thưởng Ban quản lý, điều hành","Quỹ thưởng Ban quản lý, điều hành","Quỹ thưởng Ban quản lý, điều hành",190.200.000,-,-,190.200.000,190200000.0,,,190200000.0
Cộng,Cộng,Cộng,47.394.503.760,18.592.286.257,(17.478.858.334),48.507.931.683,47394503760.0,18592286257.0,-17478858334.0,48507931683.0
