row_label_raw,row_label_full,col_0,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,,
Chia cổ tức bằng tiền,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP > Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,131.584.196.800,175.445.596.200,131584196800.0,175445596200.0
Chia cổ tức năm 2021 bằng cổ phiếu,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP > Chia cổ tức năm 2021 bằng cổ phiếu,Chia cổ tức năm 2021 bằng cổ phiếu,-,172.852.800.000,,172852800000.0
"Dịch vụ quản lý, vận hành nhà ở xã hội","Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP > Dịch vụ quản lý, vận hành nhà ở xã hội","Dịch vụ quản lý, vận hành nhà ở xã hội",446.295.455,1.238.318.182,446295455.0,1238318182.0
Thuê tầng hầm,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP > Thuê tầng hầm,Thuê tầng hầm,218.181.818,218.181.818,218181818.0,218181818.0
Chia giá vốn hợp đồng hợp tác kinh doanh,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP > Chia giá vốn hợp đồng hợp tác kinh doanh,Chia giá vốn hợp đồng hợp tác kinh doanh,12.374.029.572,13.954.248.748,12374029572.0,13954248748.0
Cho mượn tiền,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP > Cho mượn tiền,Cho mượn tiền,-,80.000.000.000,,80000000000.0
Nhận chuyển nhượng quyền sử dụng đất,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP > Nhận chuyển nhượng quyền sử dụng đất,Nhận chuyển nhượng quyền sử dụng đất,1.242.887.409.696,-,1242887409696.0,
Lãi chậm trả cổ tức,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP > Lãi chậm trả cổ tức,Lãi chậm trả cổ tức,10.473.226.766,-,10473226766.0,
Chuyển nhượng tầng 5 tòa nhà văn phòng Becamex Tower,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP > Chuyển nhượng tầng 5 tòa nhà văn phòng Becamex Tower,Chuyển nhượng tầng 5 tòa nhà văn phòng Becamex Tower,25.568.000.000,-,25568000000.0,
Công ty Liên doanh TNHH Khu công nghiệp Việt Nam – Singapore,Công ty Liên doanh TNHH Khu công nghiệp Việt Nam – Singapore,Công ty Liên doanh TNHH Khu công nghiệp Việt Nam – Singapore,Công ty Liên doanh TNHH Khu công nghiệp Việt Nam – Singapore,Công ty Liên doanh TNHH Khu công nghiệp Việt Nam – Singapore,,
Nhận chuyển nhượng quyền sử dụng đất,Công ty Liên doanh TNHH Khu công nghiệp Việt Nam – Singapore > Nhận chuyển nhượng quyền sử dụng đất,Nhận chuyển nhượng quyền sử dụng đất,991.008.000,8.144.626.776,991008000.0,8144626776.0
Công ty Cổ phần Công nghệ & Truyền thông Việt Nam,Công ty Cổ phần Công nghệ & Truyền thông Việt Nam,Công ty Cổ phần Công nghệ & Truyền thông Việt Nam,Công ty Cổ phần Công nghệ & Truyền thông Việt Nam,Công ty Cổ phần Công nghệ & Truyền thông Việt Nam,,
"Mua vật tư, thiết bị","Công ty Cổ phần Công nghệ & Truyền thông Việt Nam > Mua vật tư, thiết bị","Mua vật tư, thiết bị",1.809.477.616,2.227.108.552,1809477616.0,2227108552.0
Thi công công trình,Công ty Cổ phần Công nghệ & Truyền thông Việt Nam > Thi công công trình,Thi công công trình,7.988.240.000,17.179.998.288,7988240000.0,17179998288.0
Cổ tức được chia,Công ty Cổ phần Công nghệ & Truyền thông Việt Nam > Cổ tức được chia,Cổ tức được chia,1.190.000.000,1.190.000.000,1190000000.0,1190000000.0
Trường Đại học Quốc Tế Miền Đông,Trường Đại học Quốc Tế Miền Đông,Trường Đại học Quốc Tế Miền Đông,Trường Đại học Quốc Tế Miền Đông,Trường Đại học Quốc Tế Miền Đông,,
Thanh toán tiền điện,Trường Đại học Quốc Tế Miền Đông > Thanh toán tiền điện,Thanh toán tiền điện,-,199.879.000,,199879000.0
Công ty Cổ phần Bệnh viện Mỹ Phước,Công ty Cổ phần Bệnh viện Mỹ Phước,Công ty Cổ phần Bệnh viện Mỹ Phước,Công ty Cổ phần Bệnh viện Mỹ Phước,Công ty Cổ phần Bệnh viện Mỹ Phước,,
Nhận cung cấp dịch vụ,Công ty Cổ phần Bệnh viện Mỹ Phước > Nhận cung cấp dịch vụ,Nhận cung cấp dịch vụ,-,559.050.999,,559050999.0
Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,,
"Mua hàng hoá, dịch vụ","Công ty Cổ phần Kinh doanh và Phát triển Bình Dương > Mua hàng hoá, dịch vụ","Mua hàng hoá, dịch vụ",7.465.135.424,2.565.149.596,7465135424.0,2565149596.0
