row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Nghìn VND,Máy móc và thiết bị Nghìn VND,Dụng cụ văn phòng Nghìn VND,Phương tiện vận chuyển Nghìn VND,Tài sản khai thác khoáng sản khác Nghìn VND,Tổng cộng Nghìn VND,numeric__Nhà cửa và vật kiến trúc Nghìn VND,numeric__Máy móc và thiết bị Nghìn VND,numeric__Dụng cụ văn phòng Nghìn VND,numeric__Phương tiện vận chuyển Nghìn VND,numeric__Tài sản khai thác khoáng sản khác Nghìn VND,numeric__Tổng cộng Nghìn VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.014.688.557,9.363.681.452,32.199.893,23.866.764,5.853.577.234,17.288.013.900,2014688557.0,9363681452.0,32199893.0,23866764.0,5853577234.0,17288013900.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.307.828,46.504.975,3.306.001,-,-,51.118.804,1307828.0,46504975.0,3306001.0,,,51118804.0
Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 13),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 13),Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 13),243.879.433,862.457.972,346.696,-,-,1.106.684.101,243879433.0,862457972.0,346696.0,,,1106684101.0
Phân loại lại vào chi phí trả trước dài hạn (Thuyết minh 15),Nguyên giá > Phân loại lại vào chi phí trả trước dài hạn (Thuyết minh 15),Phân loại lại vào chi phí trả trước dài hạn (Thuyết minh 15),-,-,-,-,(827.285.950),(827.285.950),,,,,-827285950.0,-827285950.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,29.144.846,(29.144.846),-,-,-,-,29144846.0,-29144846.0,,,,
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,-,(597.747),-,(597.747),,,,-597747.0,,-597747.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.289.020.664,10.243.499.553,35.852.590,23.269.017,5.026.291.284,17.617.933.108,2289020664.0,10243499553.0,35852590.0,23269017.0,5026291284.0,17617933108.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,82.586.749,350.951.950,20.113.441,11.804.082,173.649.354,639.105.576,82586749.0,350951950.0,20113441.0,11804082.0,173649354.0,639105576.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,108.251.587,466.598.140,4.655.780,3.628.334,173.555.927,756.689.768,108251587.0,466598140.0,4655780.0,3628334.0,173555927.0,756689768.0
Phân loại lại vào chi phí trả trước dài hạn (Thuyết minh 15),Giá trị hao mòn lũy kế > Phân loại lại vào chi phí trả trước dài hạn (Thuyết minh 15),Phân loại lại vào chi phí trả trước dài hạn (Thuyết minh 15),-,-,-,-,(33.842.183),(33.842.183),,,,,-33842183.0,-33842183.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,2.317.318,(2.317.318),-,-,-,-,2317318.0,-2317318.0,,,,
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,-,(597.747),-,(597.747),,,,-597747.0,,-597747.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,193.155.654,815.232.772,24.769.221,14.834.669,313.363.098,1.361.355.414,193155654.0,815232772.0,24769221.0,14834669.0,313363098.0,1361355414.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.932.101.808,9.012.729.502,12.086.452,12.062.682,5.679.927.880,16.648.908.324,1932101808.0,9012729502.0,12086452.0,12062682.0,5679927880.0,16648908324.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.095.865.010,9.428.266.781,11.083.369,8.434.348,4.712.928.186,16.256.577.694,2095865010.0,9428266781.0,11083369.0,8434348.0,4712928186.0,16256577694.0
