row_label_raw,row_label_full,Cho năm kết thúc ngày 31 tháng 12 năm 2014,ĐồngNghìn VND,FluoritNghìn VND,VonframNghìn VND,Các bộ phậnkhácNghìn VND,Tổng cộngNghìn VND,numeric__ĐồngNghìn VND,numeric__FluoritNghìn VND,numeric__VonframNghìn VND,numeric__Các bộ phậnkhácNghìn VND,numeric__Tổng cộngNghìn VND
Doanh thu bộ phận,Doanh thu bộ phận,Doanh thu bộ phận,343.339.743,402.628.255,2.035.774.221(27.924.847),71.914.436,2.853.656.655(27.924.847),343339743.0,402628255.0,,71914436.0,
Các khoản giảm trừ doanh thu bộ phận,Các khoản giảm trừ doanh thu bộ phận,Các khoản giảm trừ doanh thu bộ phận,-,-,2.035.774.221(27.924.847),-,2.853.656.655(27.924.847),,,,,
Tổng doanh thu của bộ phận,Các khoản giảm trừ doanh thu bộ phận > Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,343.339.743,402.628.255,2.007.849.374,71.914.436,2.825.731.808,343339743.0,402628255.0,2007849374.0,71914436.0,2825731808.0
Lợi nhuận gộp của bộ phận,Các khoản giảm trừ doanh thu bộ phận > Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,78.222.343,104.633.945,556.753.213,(190.958),739.418.543,78222343.0,104633945.0,556753213.0,-190958.0,739418543.0
Chi phí không phân bổ,Các khoản giảm trừ doanh thu bộ phận > Chi phí không phân bổ,Chi phí không phân bổ,,,,,372.378.402,,,,,372378402.0
Thu nhập từ hoạt động tài chính,Các khoản giảm trừ doanh thu bộ phận > Thu nhập từ hoạt động tài chính,Thu nhập từ hoạt động tài chính,,,,,28.075.634,,,,,28075634.0
Chi phí tài chính,Các khoản giảm trừ doanh thu bộ phận > Chi phí tài chính,Chi phí tài chính,,,,,614.292.329,,,,,614292329.0
Kết quả từ các hoạt động kinh doanh,Các khoản giảm trừ doanh thu bộ phận > Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,,,,,(219.176.554),,,,,-219176554.0
Thu nhập khác,Các khoản giảm trừ doanh thu bộ phận > Thu nhập khác,Thu nhập khác,,,,,268.333.674,,,,,268333674.0
Chi phí khác,Các khoản giảm trừ doanh thu bộ phận > Chi phí khác,Chi phí khác,,,,,41.435.209,,,,,41435209.0
Thuế thu nhập doanh nghiệp,Các khoản giảm trừ doanh thu bộ phận > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,,,(27.931.603),,,,,-27931603.0
Lợi nhuận thuần sau thuế,Các khoản giảm trừ doanh thu bộ phận > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,35.653.514,,,,,35653514.0
