row_label_raw,row_label_full,col_0,Chi phí trước hoạt độngNghìn VND,Chi phí đến bù giải phóng mặt bằngNghìn VND,Tiền đóng góp cho Ủy ban Nhân dân tỉnh Thái NguyênNghìn VND,Lệ phí vayNghìn VND,Chênh lệch tỷ giáNghìn VND,Chi phí khai thác khoáng sản khácNghìn VND,Chi phí trả trước khácNghìn VND,Tổng cộngNghìn VND,numeric__Chi phí trước hoạt độngNghìn VND,numeric__Chi phí đến bù giải phóng mặt bằngNghìn VND,numeric__Tiền đóng góp cho Ủy ban Nhân dân tỉnh Thái NguyênNghìn VND,numeric__Lệ phí vayNghìn VND,numeric__Chênh lệch tỷ giáNghìn VND,numeric__Chi phí khai thác khoáng sản khácNghìn VND,numeric__Chi phí trả trước khácNghìn VND,numeric__Tổng cộngNghìn VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,226.188.216,632.993.433,58.796.000,150.633.930,35.927.461,-,6.623.797,1.111.162.837,226188216.0,632993433.0,58796000.0,150633930.0,35927461.0,,6623797.0,1111162837.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,6.258.642,-,-,-,145.823.653,520.695,152.602.990,,6258642.0,,,,145823653.0,520695.0,152602990.0
Chuyển từ/(sang) xây dựng cơ bản dở dang (Thuyết minh 13),Chuyển từ/(sang) xây dựng cơ bản dở dang (Thuyết minh 13),Chuyển từ/(sang) xây dựng cơ bản dở dang (Thuyết minh 13),8.375.792,-,-,-,(43.366.253),21.635.645,-,(13.354.816),8375792.0,,,,-43366253.0,21635645.0,,-13354816.0
Chuyển từ tài sản cố định hữu hình (Thuyết minh 10),Chuyển từ tài sản cố định hữu hình (Thuyết minh 10),Chuyển từ tài sản cố định hữu hình (Thuyết minh 10),-,-,-,-,-,793.443.767,-,793.443.767,,,,,,793443767.0,,793443767.0
Chuyển sang phát hành trái phiếu dài hạn(Thuyết minh 19(b)(ii)),Chuyển sang phát hành trái phiếu dài hạn(Thuyết minh 19(b)(ii)),Chuyển sang phát hành trái phiếu dài hạn(Thuyết minh 19(b)(ii)),-,-,-,(150.633.930),-,-,-,(150.633.930),,,,-150633930.0,,,,-150633930.0
Phân loại lại,Phân loại lại,Phân loại lại,(226.188.215),-,-,-,7.438.792,218.749.423,-,-,-226188215.0,,,,7438792.0,218749423.0,,
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(697.983),(33.025.744),(18.932.000),-,-,(19.738.214),(1.646.048),(74.039.989),-697983.0,-33025744.0,-18932000.0,,,-19738214.0,-1646048.0,-74039989.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,7.677.810,606.226.331,39.864.000,-,-,1.159.914.274,5.498.444,1.819.180.859,7677810.0,606226331.0,39864000.0,,,1159914274.0,5498444.0,1819180859.0
