row_label_raw,row_label_full,31/12/2015,31/12/2015_1,31/12/2015_2,31/12/2015_3,31/12/2015_4,31/12/2015_5,31/12/2015_6,31/12/2015_7,numeric__31/12/2015_1,numeric__31/12/2015_2,numeric__31/12/2015_3,numeric__31/12/2015_4,numeric__31/12/2015_5,numeric__31/12/2015_6,numeric__31/12/2015_7
,,,USD,AUD,EUR,Tập đoànTHB,SGD,CNY,GBP,,,,,,,
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,5.630.416,-,-,-,-,-,-,5630416.0,,,,,,
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,8.216.264,-,-,-,399.418,-,-,8216264.0,,,,399418.0,,
Phải trả người bán,Phải trả người bán,Phải trả người bán,(3.941.755),(4.275.560),(1.671.584),(11.289.906),(501.485),(1.955.251),(8.765),-3941755.0,-4275560.0,-1671584.0,-11289906.0,-501485.0,-1955251.0,-8765.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,(25.114.736),-,-,-,-,-,-,-25114736.0,,,,,,
Nợ phải trả tiền tệ khác,Nợ phải trả tiền tệ khác,Nợ phải trả tiền tệ khác,(1.136.237),-,-,-,-,-,-,-1136237.0,,,,,,
,,,(16.346.048),(4.275.560),(1.671.584),(11.289.906),(102.067),(1.955.251),(8.765),-16346048.0,-4275560.0,-1671584.0,-11289906.0,-102067.0,-1955251.0,-8765.0
1/1/2015,1/1/2015,1/1/2015,1/1/2015,1/1/2015,1/1/2015,1/1/2015,1/1/2015,1/1/2015,1/1/2015,,,,,,,
,,,USD,AUD,Tập đoànEUR,THB,SGD,CNY,,,,,,,,
Tiền và các khoản tương đương tiền,1/1/2015 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,3.271.781,-,-,-,-,-,,3271781.0,,,,,,
Phải thu khách hàng,1/1/2015 > Phải thu khách hàng,Phải thu khách hàng,17.328.556,-,-,-,75.831,-,,17328556.0,,,,75831.0,,
Phải trả người bán,1/1/2015 > Phải trả người bán,Phải trả người bán,(1.391.498),(1.301.324),(6.547),(3.429.499),(138.555),(1.955.251),,-1391498.0,-1301324.0,-6547.0,-3429499.0,-138555.0,-1955251.0,
Vay ngắn hạn,1/1/2015 > Vay ngắn hạn,Vay ngắn hạn,(50.283.698),-,-,-,-,-,,-50283698.0,,,,,,
Nợ phải trả tiền tệ khác,1/1/2015 > Nợ phải trả tiền tệ khác,Nợ phải trả tiền tệ khác,(53.628),-,-,-,-,-,,-53628.0,,,,,,
,,,(31.128.487),(1.301.324),(6.547),(3.429.499),(62.724),(1.955.251),,-31128487.0,-1301324.0,-6547.0,-3429499.0,-62724.0,-1955251.0,
