row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2015,ĐồngNghìn VND,FluoritNghìn VND,VonframNghìn VND,Các bộ phậnkhácNghìn VND,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > Tổng cộngNghìn VND,numeric__ĐồngNghìn VND,numeric__FluoritNghìn VND,numeric__VonframNghìn VND,numeric__Các bộ phậnkhácNghìn VND,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính) > Tổng cộngNghìn VND
Tải sản của bộ phận,Tải sản của bộ phận,Tải sản của bộ phận,228.602.892,1.190.123.806,1.926.105.078,374.493.881,3.719.325.657,228602892.0,1190123806.0,1926105078.0,374493881.0,3719325657.0
Tải sản không phân bổ,Tải sản không phân bổ,Tải sản không phân bổ,,,,,22.888.381.240,,,,,22888381240.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,26.607.706.897,,,,,26607706897.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,15.012.572.488,,,,,15012572488.0
Tại ngày 31 tháng 12 năm 2014,Tại ngày 31 tháng 12 năm 2014,Tại ngày 31 tháng 12 năm 2014,ĐồngNghìn VND,FluoritNghìn VND,VonframNghìn VND,Các bộ phậnkhácNghìn VND,Tổng cộngNghìn VND,,,,,
Tải sản của bộ phận,Tại ngày 31 tháng 12 năm 2014 > Tải sản của bộ phận,Tải sản của bộ phận,240.614.106,1.209.354.984,918.976.946,394.233.151,2.763.179.187,240614106.0,1209354984.0,918976946.0,394233151.0,2763179187.0
Tải sản không phân bổ,Tại ngày 31 tháng 12 năm 2014 > Tải sản không phân bổ,Tải sản không phân bổ,,,,,22.343.114.740,,,,,22343114740.0
Tổng tài sản,Tại ngày 31 tháng 12 năm 2014 > Tổng tài sản,Tổng tài sản,,,,,25.106.293.927,,,,,25106293927.0
Tổng nợ phải trả,Tại ngày 31 tháng 12 năm 2014 > Tổng nợ phải trả,Tổng nợ phải trả,,,,,13.595.481.547,,,,,13595481547.0
