row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Tập đoàn > 2015Nghìn VND,Tập đoàn > 2014Nghìn VNDĐã phân loại lại,Công tv > 2015Nghìn VND,Công tv > 2014Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__Tập đoàn > 2015Nghìn VND,numeric__Tập đoàn > 2014Nghìn VNDĐã phân loại lại,numeric__Công tv > 2015Nghìn VND,numeric__Công tv > 2014Nghìn VND
Doanh thu bán hàng,Doanh thu bán hàng,Doanh thu bán hàng,01,25,2.665.267.495,2.853.656.655,-,-,1.0,25.0,2665267495.0,2853656655.0,,
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,,7.392.789,27.924.847,-,-,2.0,,7392789.0,27924847.0,,
Doanh thu thuần về bán hàng (10 = 01 - 02),Doanh thu thuần về bán hàng (10 = 01 - 02),Doanh thu thuần về bán hàng (10 = 01 - 02),10,,2.657.874.706,2.825.731.808,-,-,10.0,,2657874706.0,2825731808.0,,
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,,1.894.376.161,2.086.313.265,-,-,11.0,,1894376161.0,2086313265.0,,
Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),20,,763.498.545,739.418.543,-,-,20.0,,763498545.0,739418543.0,,
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,26,556.078.851,28.075.634,18.095.979,96.906.522,21.0,26.0,556078851.0,28075634.0,18095979.0,96906522.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,27,834.759.478,614.292.329,52.914.399,141.526.121,22.0,27.0,834759478.0,614292329.0,52914399.0,141526121.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,,160.179.519,91.853.389,-,-,25.0,,160179519.0,91853389.0,,
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,,247.909.321,280.525.013,5.064.700,735.109,26.0,,247909321.0,280525013.0,5064700.0,735109.0
Lợi nhuận/(lỗ) thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lợi nhuận/(lỗ) thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},Lợi nhuận/(lỗ) thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},30,,76.729.078,(219.176.554),(39.883.120),(45.354.708),30.0,,76729078.0,-219176554.0,-39883120.0,-45354708.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,,11.769.734,268.333.674,-,-,31.0,,11769734.0,268333674.0,,
Chi phí khác,Chi phí khác,Chi phí khác,32,,29.939.356,41.435.209,-,498.348,32.0,,29939356.0,41435209.0,,498348.0
(Lỗ)/lợi nhuận khác (40 = 31 - 32),(Lỗ)/lợi nhuận khác (40 = 31 - 32),(Lỗ)/lợi nhuận khác (40 = 31 - 32),40,,(18.169.622),226.898.465,-,(498.348),40.0,,-18169622.0,226898465.0,,-498348.0
