row_label_raw,row_label_full,Tập đoàn:,Khôi phục hiện trường Nghìn VND,Quyền khai thác mô Nghìn VND,Tổng Nghìn VND,numeric__Khôi phục hiện trường Nghìn VND,numeric__Quyền khai thác mô Nghìn VND,numeric__Tổng Nghìn VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,19.486.702,588.370.818,607.857.520,19486702.0,588370818.0,607857520.0
Dự phòng lập trong năm,Dự phòng lập trong năm,Dự phòng lập trong năm,1.500.476,46.016.356,47.516.832,1500476.0,46016356.0,47516832.0
Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,-,(73.145.650),(73.145.650),,-73145650.0,-73145650.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,20.987.178,561.241.524,582.228.702,20987178.0,561241524.0,582228702.0
