row_label_raw,row_label_full,col_0,"Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn",Cộng,"numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn",numeric__Cộng
,,,VND,VND,VND,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,45.941.597.063,24.110.365.987,70.051.963.050,45941597063.0,24110365987.0,70051963050.0
- Thuê tài chính trong năm,Nguyên giá > - Thuê tài chính trong năm,- Thuê tài chính trong năm,84.176.840.045,14.406.090.892,98.582.930.937,84176840045.0,14406090892.0,98582930937.0
- Mua lại TSCĐ thuê tài chính,Nguyên giá > - Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,(16.498.035.733),(3.206.429.273),(19.704.465.006),-16498035733.0,-3206429273.0,-19704465006.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,113.620.401.375,35.310.027.606,148.930.428.981,113620401375.0,35310027606.0,148930428981.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,14.791.077.187,5.554.658.916,20.345.736.103,14791077187.0,5554658916.0,20345736103.0
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,8.306.492.039,4.847.225.194,13.153.717.233,8306492039.0,4847225194.0,13153717233.0
- Mua lại TSCĐ thuê tài chính,Giá trị hao mòn luỹ kế > - Mua lại TSCĐ thuê tài chính,- Mua lại TSCĐ thuê tài chính,(5.729.727.772),(1.793.272.027),(7.522.999.799),-5729727772.0,-1793272027.0,-7522999799.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,17.367.841.454,8.608.612.083,25.976.453.537,17367841454.0,8608612083.0,25976453537.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,31.150.519.876,18.555.707.071,49.706.226.947,31150519876.0,18555707071.0,49706226947.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,96.252.559.921,26.701.415.523,122.953.975.444,96252559921.0,26701415523.0,122953975444.0
