row_label_raw,row_label_full,col_0,Vốn góp củachủ sở hữu,Thăng dư vốncổ phần,Vốn khác củachủ sở hữu,Cổ phiếu quỹ,Chênh lệch đánhgiá lại tài sản,Quỹ đầu tưphát triển,Quỹ khác thuộcvốn Chủ sở hữu,Lợi nhuận chưaphân phối,Lợi ích cổ đôngkhông kiểm soát,Nguồn vốn đàutư XDCB,Cộng,numeric__Vốn góp củachủ sở hữu,numeric__Thăng dư vốncổ phần,numeric__Vốn khác củachủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Chênh lệch đánhgiá lại tài sản,numeric__Quỹ đầu tưphát triển,numeric__Quỹ khác thuộcvốn Chủ sở hữu,numeric__Lợi nhuận chưaphân phối,numeric__Lợi ích cổ đôngkhông kiểm soát,numeric__Nguồn vốn đàutư XDCB,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,,,
S dư đầu năm trước,S dư đầu năm trước,S dư đầu năm trước,2.645.000.000.000,(4.408.147.765),23.249.978.656,(149.876.239),(193.544.307.015),102.045.497.588,6.874.279.135,303.663.794.685,337.170.153.548,67.000.000.000,3.286.901.372.593,2645000000000.0,-4408147765.0,23249978656.0,-149876239.0,-193544307015.0,102045497588.0,6874279135.0,303663794685.0,337170153548.0,67000000000.0,3286901372593.0
tăng vốn trong năm trước,tăng vốn trong năm trước,tăng vốn trong năm trước,425.000.000.000,138.378.510.000,-,-,-,-,-,-,-,-,563.378.510.000,425000000000.0,138378510000.0,,,,,,,,,563378510000.0
lii trong năm trước,lii trong năm trước,lii trong năm trước,-,-,-,-,-,-,-,513.750.218.906,-,-,513.750.218.906,,,,,,,,513750218906.0,,,513750218906.0
bông ty con dùng các quỹ bù đáp lỗy kế,bông ty con dùng các quỹ bù đáp lỗy kế,bông ty con dùng các quỹ bù đáp lỗy kế,-,(13.521.442.674),(966.936.151),-,-,(4.062.055.249),(139.482.162),18.689.916.236,-,-,-,,-13521442674.0,-966936151.0,,,-4062055249.0,-139482162.0,18689916236.0,,,
hiía cổ tức,hiía cổ tức,hiía cổ tức,-,-,-,-,-,-,-,(105.800.000.000),-,-,(105.800.000.000),,,,,,,,-105800000000.0,,,-105800000000.0
rich lập quỹ khen thưởng phúc lợi,rich lập quỹ khen thưởng phúc lợi,rich lập quỹ khen thưởng phúc lợi,-,-,-,-,-,-,-,(15.577.547.364),-,-,(15.577.547.364),,,,,,,,-15577547364.0,,,-15577547364.0
tăng khác,tăng khác,tăng khác,-,-,-,-,-,-,-,806.025.537,-,31.000.000.000,31.806.025.537,,,,,,,,806025537.0,,31000000000.0,31806025537.0
ná thù lao của Hội đồng quản trị,ná thù lao của Hội đồng quản trị,ná thù lao của Hội đồng quản trị,-,-,-,-,-,-,-,(761.537.948),-,-,(761.537.948),,,,,,,,-761537948.0,,,-761537948.0
ét chuyển nguồn vốn đối với côngnh đã hoàn thành,ét chuyển nguồn vốn đối với côngnh đã hoàn thành,ét chuyển nguồn vốn đối với côngnh đã hoàn thành,-,-,-,-,-,-,-,-,-,(52.000.000.000),(52.000.000.000),,,,,,,,,,-52000000000.0,-52000000000.0
iảm do Công ty con điều chỉnh hồi lợi nhuận các năm trước,iảm do Công ty con điều chỉnh hồi lợi nhuận các năm trước,iảm do Công ty con điều chỉnh hồi lợi nhuận các năm trước,-,-,-,-,-,-,-,(731.853.272),-,-,(731.853.272),,,,,,,,-731853272.0,,,-731853272.0
