row_label_raw,row_label_full,col_0,Từ 1 năm trở xuống,Trên 1 năm đến 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 năm trở xuống,numeric__Trên 1 năm đến 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2017,Tại ngày 31/12/2017,Tại ngày 31/12/2017,Tại ngày 31/12/2017,Tại ngày 31/12/2017,Tại ngày 31/12/2017,Tại ngày 31/12/2017,,,,
Tiền và các khoản tương đương tiền,Tại ngày 31/12/2017 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,2.165.665.339.498,-,-,2.165.665.339.498,2165665339498.0,,,2165665339498.0
"Phải thu khách hàng, phải thu khác","Tại ngày 31/12/2017 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",1.137.391.087.084,197.271.999.836,-,1.334.663.086.920,1137391087084.0,197271999836.0,,1334663086920.0
Các khoản cho vay,Tại ngày 31/12/2017 > Các khoản cho vay,Các khoản cho vay,247.638.352.407,82.300.000,-,247.720.652.407,247638352407.0,82300000.0,,247720652407.0
Cộng,Tại ngày 31/12/2017 > Cộng,Cộng,3.550.694.778.989,197.354.299.836,-,3.748.049.078.825,3550694778989.0,197354299836.0,,3748049078825.0
Tại ngày 01/01/2017,Tại ngày 01/01/2017,Tại ngày 01/01/2017,Tại ngày 01/01/2017,Tại ngày 01/01/2017,Tại ngày 01/01/2017,Tại ngày 01/01/2017,,,,
Tiền và các khoản tương đương tiền,Tại ngày 01/01/2017 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.054.085.576.436,-,-,1.054.085.576.436,1054085576436.0,,,1054085576436.0
"Phải thu khách hàng, phải thu khác","Tại ngày 01/01/2017 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",1.100.171.323.562,211.219.590.214,-,1.311.390.913.776,1100171323562.0,211219590214.0,,1311390913776.0
Các khoản cho vay,Tại ngày 01/01/2017 > Các khoản cho vay,Các khoản cho vay,12.100.000.000,82.300.000,-,12.182.300.000,12100000000.0,82300000.0,,12182300000.0
Cộng,Tại ngày 01/01/2017 > Cộng,Cộng,2.166.356.899.998,211.301.890.214,-,2.377.658.790.212,2166356899998.0,211301890214.0,,2377658790212.0
