row_label_raw,row_label_full,col_0,31/12/2017,31/12/2017_1,01/01/2017 (Đã điều chỉnh),01/01/2017 (Đã điều chỉnh)_1,numeric__31/12/2017,numeric__31/12/2017_1,numeric__01/01/2017 (Đã điều chỉnh),numeric__01/01/2017 (Đã điều chỉnh)_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
,,,VND,VND,VND,VND,,,,
Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,6.439.571.896,-,5.645.611.946,-,6439571896.0,,5645611946.0,
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",588.976.700.784,(16.602.504.575),575.547.868.181,(8.373.726.646),588976700784.0,-16602504575.0,575547868181.0,-8373726646.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",84.713.996.487,(2.402.193.032),75.192.361.235,(863.864.944),84713996487.0,-2402193032.0,75192361235.0,-863864944.0
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,1.311.653.534.107,(1.273.312.770),1.563.538.824.035,(1.273.312.770),1311653534107.0,-1273312770.0,1563538824035.0,-1273312770.0
Thành phẩm,Thành phẩm,Thành phẩm,878.965.323.124,(33.742.718.517),645.787.473.903,(16.800.938.334),878965323124.0,-33742718517.0,645787473903.0,-16800938334.0
Hàng hoá,Hàng hoá,Hàng hoá,79.183.066.504,(3.264.841.242),109.076.060.229,(4.223.328.459),79183066504.0,-3264841242.0,109076060229.0,-4223328459.0
Hàng gửi đi bán,Hàng gửi đi bán,Hàng gửi đi bán,3.604.836.421,(338.798.359),5.618.025.126,(290.434.785),3604836421.0,-338798359.0,5618025126.0,-290434785.0
,,,2.953.537.029.323,(57.624.368.495),2.980.406.224.655,(31.825.605.938),2953537029323.0,-57624368495.0,2980406224655.0,-31825605938.0
