row_label_raw,row_label_full,col_0,Mã số,Phân loại lại > VND,Đã trình bày trên báo cáo nằm trước > VND,numeric__Mã số,numeric__Phân loại lại > VND,numeric__Đã trình bày trên báo cáo nằm trước > VND
Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,,,
Hàng tồn kho,Bảng cân đối kế toán hợp nhất > Hàng tồn kho,Hàng tồn kho,141,2.980.406.224.655,2.952.200.839.806,141.0,2980406224655.0,2952200839806.0
Chi phí xây dựng cơ bản dở dang,Bảng cân đối kế toán hợp nhất > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,1.572.554.716.272,1.497.620.814.787,242.0,1572554716272.0,1497620814787.0
Chi phí phải trả ngắn hạn,Bảng cân đối kế toán hợp nhất > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,775.560.855.401,778.851.254.273,315.0,775560855401.0,778851254273.0
Chi phí phải trả dài hạn,Bảng cân đối kế toán hợp nhất > Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,333,122.297.765.889,15.868.080.683,333.0,122297765889.0,15868080683.0
Thặng dư vốn cổ phần,Bảng cân đối kế toán hợp nhất > Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,120.425.969.561,120.448.919.561,412.0,120425969561.0,120448919561.0
Vốn khác của chủ sở hữu,Bảng cân đối kế toán hợp nhất > Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,414,21.824.042.505,22.283.042.505,414.0,21824042505.0,22283042505.0
Chênh lệch đánh giá lại tài sản,Bảng cân đối kế toán hợp nhất > Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,416,(211.681.407.015),(193.544.307.015),416.0,-211681407015.0,-193544307015.0
Quỹ đầu tư phát triển,Bảng cân đối kế toán hợp nhất > Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,418,91.436.312.355,97.983.442.339,418.0,91436312355.0,97983442339.0
Quỹ khác thuộc vốn chủ sở hữu,Bảng cân đối kế toán hợp nhất > Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,420,6.603.291.499,6.734.796.973,420.0,6603291499.0,6734796973.0
Lợi nhuận sau thuế chưa phân phối,Bảng cân đối kế toán hợp nhất > Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,741.287.274.365,715.989.588.907,421.0,741287274365.0,715989588907.0
