row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc, thiết bị","Phương tiện vậntài, truyền dẫn","Thiết bị, dụng cụquản lý",Tài sản cố địnhkhác,Cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vậntài, truyền dẫn","numeric__Thiết bị, dụng cụquản lý",numeric__Tài sản cố địnhkhác,numeric__Cộng
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,1.191.023.272.253,2.473.970.398.657,160.626.388.347,17.931.618.906,5.857.960.791,3.849.409.638.954,1191023272253.0,2473970398657.0,160626388347.0,17931618906.0,5857960791.0,3849409638954.0
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,135.973.060.496,211.039.484.001,12.788.216.360,1.146.216.847,487.528.292,361.434.505.996,135973060496.0,211039484001.0,12788216360.0,1146216847.0,487528292.0,361434505996.0
- Tăng do mua lại TSCĐ thuê tài chính,Giá trị hao mòn luỹ kế > - Tăng do mua lại TSCĐ thuê tài chính,- Tăng do mua lại TSCĐ thuê tài chính,-,5.729.727.772,1.793.272.027,-,-,7.522.999.799,,5729727772.0,1793272027.0,,,7522999799.0
- Do Phân loại lại,Giá trị hao mòn luỹ kế > - Do Phân loại lại,- Do Phân loại lại,14.644.411,(48.565.319),42.441.358,(8.520.450),-,-,14644411.0,-48565319.0,42441358.0,-8520450.0,,
"- Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(993.000.000),(30.912.876.173),(3.092.835.558),-,-,(34.998.711.731),-993000000.0,-30912876173.0,-3092835558.0,,,-34998711731.0
- Giảm do góp vốn bằng TSCĐ,Giá trị hao mòn luỹ kế > - Giảm do góp vốn bằng TSCĐ,- Giảm do góp vốn bằng TSCĐ,(9.599.208.086),(4.833.043.583),(620.181.593),-,-,(15.052.433.262),-9599208086.0,-4833043583.0,-620181593.0,,,-15052433262.0
- Giảm do thoái vốn công ty con,Giá trị hao mòn luỹ kế > - Giảm do thoái vốn công ty con,- Giảm do thoái vốn công ty con,(5.544.353.741),(3.348.173.081),(3.887.074.710),(292.023.861),(1.387.491.029),(14.459.116.422),-5544353741.0,-3348173081.0,-3887074710.0,-292023861.0,-1387491029.0,-14459116422.0
- Giảm khác,Giá trị hao mòn luỹ kế > - Giảm khác,- Giảm khác,(2.996.664.789),-,-,(1.792.183),-,(2.998.456.972),-2996664789.0,,,-1792183.0,,-2998456972.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,1.307.877.750.544,2.651.596.952.274,167.650.226.231,18.775.499.259,4.957.998.054,4.150.858.426.362,1307877750544.0,2651596952274.0,167650226231.0,18775499259.0,4957998054.0,4150858426362.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,1.586.958.473.365,1.276.448.817.190,62.374.786.863,3.173.462.455,5.124.604.983,2.934.080.144.856,1586958473365.0,1276448817190.0,62374786863.0,3173462455.0,5124604983.0,2934080144856.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,1.665.410.820.225,1.726.916.179.427,59.453.245.616,3.597.754.059,2.569.108.821,3.457.947.108.148,1665410820225.0,1726916179427.0,59453245616.0,3597754059.0,2569108821.0,3457947108148.0
