row_label_raw,row_label_full,col_0,01/01/2017 > Giá trị,01/01/2017 > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,31/12/2017 > Giảm do thoái vốn công ty con,31/12/2017 > Giá trị,numeric__01/01/2017 > Giá trị,numeric__01/01/2017 > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__31/12/2017 > Giảm do thoái vốn công ty con,numeric__31/12/2017 > Giá trị
,,,VND,VND,VND,VND,VND,VND,,,,,,
a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,,,,,,
Vay ngắn hạn,a) Vay ngắn hạn > Vay ngắn hạn,Vay ngắn hạn,820.326.123.637,820.326.123.637,4.038.234.583.219,3.735.483.713.406,71.171.675.873,1.051.905.317.577,820326123637.0,820326123637.0,4038234583219.0,3735483713406.0,71171675873.0,1051905317577.0
Vay và nợ dài hạn đến hạn trả,a) Vay ngắn hạn > Vay và nợ dài hạn đến hạn trả,Vay và nợ dài hạn đến hạn trả,302.140.646.411,302.140.646.411,223.682.090.006,311.741.083.867,-,214.081.652.550,302140646411.0,302140646411.0,223682090006.0,311741083867.0,,214081652550.0
,,,1.122.466.770.048,1.122.466.770.048,4.261.916.673.225,4.047.224.797.273,71.171.675.873,1.265.986.970.127,1122466770048.0,1122466770048.0,4261916673225.0,4047224797273.0,71171675873.0,1265986970127.0
b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,,,,,,
Vay dài hạn,b) Vay dài hạn > Vay dài hạn,Vay dài hạn,1.303.597.312.241,1.303.597.312.241,248.315.458.074,667.216.967.646,-,884.695.802.669,1303597312241.0,1303597312241.0,248315458074.0,667216967646.0,,884695802669.0
Trái phiếu thường,b) Vay dài hạn > Trái phiếu thường,Trái phiếu thường,-,-,120.000.000.000,1.083.333.334,-,118.916.666.666,,,120000000000.0,1083333334.0,,118916666666.0
Nợ thuê tài chính dài hạn,b) Vay dài hạn > Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,22.223.002.528,22.223.002.528,96.821.564.439,31.871.550.486,-,87.173.016.481,22223002528.0,22223002528.0,96821564439.0,31871550486.0,,87173016481.0
,,,1.325.820.314.769,1.325.820.314.769,465.137.022.513,700.171.851.466,-,1.090.785.485.816,1325820314769.0,1325820314769.0,465137022513.0,700171851466.0,,1090785485816.0
Khoản đến hạn trả trong vòng 12 tháng,b) Vay dài hạn > Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,(302.140.646.411),(302.140.646.411),(223.682.090.006),(311.741.083.867),,(214.081.652.550),-302140646411.0,-302140646411.0,-223682090006.0,-311741083867.0,,-214081652550.0
Khoản đến hạn trả sau 12 tháng,b) Vay dài hạn > Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,1.023.679.668.358,1.023.679.668.358,,,,876.703.833.266,1023679668358.0,1023679668358.0,,,,876703833266.0
