row_label_raw,row_label_full,col_0,Nhóm bất động sảnvà xây dựng,"Nhóm Kính, Sử,Sen vòi, Phụ kiện",Nhóm gạch ốp lát,"Nhóm gạch, ngõidắt sét nung",Các bộ phận khác,Loại trừ,Tổng cộng toànDoanh nghiệp,numeric__Nhóm bất động sảnvà xây dựng,"numeric__Nhóm Kính, Sử,Sen vòi, Phụ kiện",numeric__Nhóm gạch ốp lát,"numeric__Nhóm gạch, ngõidắt sét nung",numeric__Các bộ phận khác,numeric__Loại trừ,numeric__Tổng cộng toànDoanh nghiệp
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ,Doanh thu thuần từ bán hàng và cung cấp dịch vụ,Doanh thu thuần từ bán hàng và cung cấp dịch vụ,2.310.213.895.645,2.319.893.037.660,2.046.638.440.289,2.261.139.912.742,258.620.704.315,-,9.196.505.990.651,2310213895645.0,2319893037660.0,2046638440289.0,2261139912742.0,258620704315.0,,9196505990651.0
Giá vốn của hàng bán,Giá vốn của hàng bán,Giá vốn của hàng bán,1.798.204.501.642,1.605.141.332.095,1.564.396.984.194,1.845.143.603.860,242.707.367.705,-,7.055.593.789.496,1798204501642.0,1605141332095.0,1564396984194.0,1845143603860.0,242707367705.0,,7055593789496.0
Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,512.009.394.003,714.751.705.565,482.241.456.095,415.996.308.882,15.913.336.610,-,2.140.912.201.155,512009394003.0,714751705565.0,482241456095.0,415996308882.0,15913336610.0,,2140912201155.0
Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,1.141.027.704.601,217.556.010.440,341.198.894.772,79.831.534.229,508.961.728,-,1.780.123.105.770,1141027704601.0,217556010440.0,341198894772.0,79831534229.0,508961728.0,,1780123105770.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,12.826.030.542.858,2.000.634.698.265,2.150.701.898.051,1.468.263.027.375,316.302.384.195,(3.461.381.465.447),15.300.551.085.297,12826030542858.0,2000634698265.0,2150701898051.0,1468263027375.0,316302384195.0,-3461381465447.0,15300551085297.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,733.694.075.147,,,,,,,733694075147.0
Tổng Tài sản,Tổng Tài sản,Tổng Tài sản,12.826.030.542.858,2.000.634.698.265,2.150.701.898.051,1.468.263.027.375,316.302.384.195,(3.461.381.465.447),16.034.245.160.444,12826030542858.0,2000634698265.0,2150701898051.0,1468263027375.0,316302384195.0,-3461381465447.0,16034245160444.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,8.058.799.365.420,1.798.644.735.505,1.776.590.872.997,830.754.459.136,232.610.415.078,(3.382.898.398.373),9.314.501.449.763,8058799365420.0,1798644735505.0,1776590872997.0,830754459136.0,232610415078.0,-3382898398373.0,9314501449763.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,8.058.799.365.420,1.798.644.735.505,1.776.590.872.997,830.754.459.136,232.610.415.078,(3.382.898.398.373),9.314.501.449.763,8058799365420.0,1798644735505.0,1776590872997.0,830754459136.0,232610415078.0,-3382898398373.0,9314501449763.0
