row_label_raw,row_label_full,col_0,Số đầu năm,Số phát sinh tăng trong năm,Số phát sinh giảm trong năm,VND > Số cuối năm,VND > Số cuối năm_1,numeric__Số đầu năm,numeric__Số phát sinh tăng trong năm,numeric__Số phát sinh giảm trong năm,numeric__VND > Số cuối năm,numeric__VND > Số cuối năm_1
Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,2.052.945.972.681,19.961.551.061.988,(17.225.505.287.912),4.788.991.746.757,4.788.991.746.757,2052945972681.0,19961551061988.0,-17225505287912.0,4788991746757.0,4788991746757.0
"Nhóm Công ty thực hiện các khoản vay ngắn hạn ngân hàng này nhằm mục đích bổ sung nhu cầu vốn lưu động, chi tiết như sau:","Nhóm Công ty thực hiện các khoản vay ngắn hạn ngân hàng này nhằm mục đích bổ sung nhu cầu vốn lưu động, chi tiết như sau:","Nhóm Công ty thực hiện các khoản vay ngắn hạn ngân hàng này nhằm mục đích bổ sung nhu cầu vốn lưu động, chi tiết như sau:","Nhóm Công ty thực hiện các khoản vay ngắn hạn ngân hàng này nhằm mục đích bổ sung nhu cầu vốn lưu động, chi tiết như sau:","Nhóm Công ty thực hiện các khoản vay ngắn hạn ngân hàng này nhằm mục đích bổ sung nhu cầu vốn lưu động, chi tiết như sau:","Nhóm Công ty thực hiện các khoản vay ngắn hạn ngân hàng này nhằm mục đích bổ sung nhu cầu vốn lưu động, chi tiết như sau:","Nhóm Công ty thực hiện các khoản vay ngắn hạn ngân hàng này nhằm mục đích bổ sung nhu cầu vốn lưu động, chi tiết như sau:","Nhóm Công ty thực hiện các khoản vay ngắn hạn ngân hàng này nhằm mục đích bổ sung nhu cầu vốn lưu động, chi tiết như sau:",,,,,
Bên cho vay,Bên cho vay,Bên cho vay,Số dư cuối năm VND,Kỳ hạn thanh toán,Lãi suất,Hình thức đảm bảo,Hình thức đảm bảo,,,,,
Ngân hàng TMCP Công thương Việt Nam,Bên cho vay > Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,1.100.892.561.174,từ 07/03/2017 đến 27/03/2017,thả nổi,,Tín chấp,1100892561174.0,,,,
Ngân hàng TMCP Ngoại thương Việt Nam,Bên cho vay > Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,784.309.737.200,từ 02/01/2017 đến 01/02/2017,thả nổi,,Tín chấp,784309737200.0,,,,
Ngân hàng TNHH MTV HSBC (Việt Nam),Bên cho vay > Ngân hàng TNHH MTV HSBC (Việt Nam),Ngân hàng TNHH MTV HSBC (Việt Nam),664.638.134.074,từ 03/01/2017 đến 23/02/2017,thả nổi,,Tín chấp,664638134074.0,,,,
Ngân hàng BNP Paribas – Chi nhánh Tp. Hồ Chí Minh,Bên cho vay > Ngân hàng BNP Paribas – Chi nhánh Tp. Hồ Chí Minh,Ngân hàng BNP Paribas – Chi nhánh Tp. Hồ Chí Minh,550.927.773.655,từ 21/02/2017 đến 16/03/2017,thả nổi,,Tín chấp,550927773655.0,,,,
"Ngân Hàng Mizuho Bank, Ltd. – Chi Nhánh Tp. Hà Nội","Bên cho vay > Ngân Hàng Mizuho Bank, Ltd. – Chi Nhánh Tp. Hà Nội","Ngân Hàng Mizuho Bank, Ltd. – Chi Nhánh Tp. Hà Nội",410.808.794.543,từ 10/01/2017 đến 23/03/2017,thả nổi,,Tín chấp,410808794543.0,,,,
Ngân hàng TNHH MTV Standard Chartered (Việt Nam),Bên cho vay > Ngân hàng TNHH MTV Standard Chartered (Việt Nam),Ngân hàng TNHH MTV Standard Chartered (Việt Nam),381.166.581.650,từ 06/01/2017 đến 24/02/2017,thả nổi,,Tín chấp,381166581650.0,,,,
Ngân Hàng TMCP Quân Đội – Chi nhánh Quảng Nam,Bên cho vay > Ngân Hàng TMCP Quân Đội – Chi nhánh Quảng Nam,Ngân Hàng TMCP Quân Đội – Chi nhánh Quảng Nam,299.634.286.918,từ 07/01/2017 đến 20/01/2017,thả nổi,,Tín chấp,299634286918.0,,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Bên cho vay > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,179.669.051.750,từ 03/01/2017 đến 17/01/2017,thả nổi,,Tín chấp,179669051750.0,,,,
Ngân hàng Quốc tế Việt Nam,Bên cho vay > Ngân hàng Quốc tế Việt Nam,Ngân hàng Quốc tế Việt Nam,149.289.128.079,từ 09/01/2017 đến 16/02/2017,thả nổi,,Tín chấp,149289128079.0,,,,
Ngân hàng TNHH MTV Shinhan (Việt Nam),Bên cho vay > Ngân hàng TNHH MTV Shinhan (Việt Nam),Ngân hàng TNHH MTV Shinhan (Việt Nam),104.949.126.799,06/01/2017,thả nổi,,Tín chấp,104949126799.0,,,,
Citibank N.A Việt Nam,Bên cho vay > Citibank N.A Việt Nam,Citibank N.A Việt Nam,102.482.124.528,12/01/2017,thả nổi,,Tín chấp,102482124528.0,,,,
Ngân hàng TNHH MTV ANZ (Việt Nam),Bên cho vay > Ngân hàng TNHH MTV ANZ (Việt Nam),Ngân hàng TNHH MTV ANZ (Việt Nam),60.224.446.387,từ 26/01/2017 đến 01/03/2017,thả nổi,,Tín chấp,60224446387.0,,,,
TỔNG CỘNG,Bên cho vay > TỔNG CỘNG,TỔNG CỘNG,4.788.991.746.757,,,,,4788991746757.0,,,,
