row_label_raw,row_label_full,Công ty TNHH Apple Việt Nam > Sony Điện tử Việt Nam,Số cuối năm > 919.562.627.843 > 389.171.907.228,VND Số đầu năm > - > 277.697.871.987,numeric__Số cuối năm > 919.562.627.843 > 389.171.907.228,numeric__VND Số đầu năm > - > 277.697.871.987
Công ty TNHH Di động Thông minh,Công ty TNHH Di động Thông minh,Công ty TNHH Di động Thông minh,342.611.597.988,43.856.769.472,342611597988.0,43856769472.0
Công ty TNHH Samsung Electronics Việt Nam Thái Nguyên,Công ty TNHH Samsung Electronics Việt Nam Thái Nguyên,Công ty TNHH Samsung Electronics Việt Nam Thái Nguyên,184.621.127.290,49.617.945.300,184621127290.0,49617945300.0
Công ty TNHH Thương mại và Xuất Nhập khẩu Viettel,Công ty TNHH Thương mại và Xuất Nhập khẩu Viettel,Công ty TNHH Thương mại và Xuất Nhập khẩu Viettel,69.205.940.000,310.867.954.724,69205940000.0,310867954724.0
Khác,Khác,Khác,2.774.865.663.336,1.289.231.095.335,2774865663336.0,1289231095335.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.680.038.863.685,1.971.271.636.818,4680038863685.0,1971271636818.0
