row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc",Phương tiện vận tải,Thiết bị văn phòng,VND Tổng cộng,"numeric__Nhà cửa, vật kiến trúc",numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,979.192.698.137,28.801.629.788,174.775.185.273,1.182.769.513.198,979192698137.0,28801629788.0,174775185273.0,1182769513198.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,1.358.195.436.436,36.087.405.034,184.601.132.437,1.578.883.973.907,1358195436436.0,36087405034.0,184601132437.0,1578883973907.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,42.854.581.814,-,-,42.854.581.814,42854581814.0,,,42854581814.0
Thanh lý trong năm,Nguyên giá: > Thanh lý trong năm,Thanh lý trong năm,(14.060.175.185),-,(5.960.771.300),(20.020.946.485),-14060175185.0,,-5960771300.0,-20020946485.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,2.366.182.541.202,64.889.034.822,353.415.546.410,2.784.487.122.434,2366182541202.0,64889034822.0,353415546410.0,2784487122434.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,280.465.250.483,5.001.948.714,70.376.907.958,355.844.107.155,280465250483.0,5001948714.0,70376907958.0,355844107155.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,316.770.038.688,6.989.973.387,52.341.931.537,376.101.943.612,316770038688.0,6989973387.0,52341931537.0,376101943612.0
Thanh lý trong năm,Giá trị khấu hao lũy kế: > Thanh lý trong năm,Thanh lý trong năm,(11.376.459.234),-,(5.891.250.467),(17.267.709.701),-11376459234.0,,-5891250467.0,-17267709701.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,585.858.829.937,11.991.922.101,116.827.589.028,714.678.341.066,585858829937.0,11991922101.0,116827589028.0,714678341066.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,698.727.447.654,23.799.681.074,104.398.277.315,826.925.406.043,698727447654.0,23799681074.0,104398277315.0,826925406043.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,1.780.323.711.265,52.897.112.721,236.587.957.382,2.069.808.781.368,1780323711265.0,52897112721.0,236587957382.0,2069808781368.0
