row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Lợi nhuận sau thuế chưa phân phối,Vốn khác,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Vốn khác,numeric__Tổng cộng
Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,,,,,,
Số đầu năm,Năm trước: > Số đầu năm,Số đầu năm,1.119.567.790.000,36.717.698.286,(300.394.500),317.840.559.767,1.130.494.084,1.474.956.147.637,1119567790000.0,36717698286.0,-300394500.0,317840559767.0,1130494084.0,1474956147637.0
Lợi nhuận thuần trong năm,Năm trước: > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,1.071.893.519.399,-,1.071.893.519.399,,,,1071893519399.0,,1071893519399.0
Phát hành cổ phiếu thường,Năm trước: > Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,279.471.970.000,-,-,(279.471.970.000),-,-,279471970000.0,,,-279471970000.0,,
Mua thêm quyền sở hữu của cổ đông không kiểm soát,Năm trước: > Mua thêm quyền sở hữu của cổ đông không kiểm soát,Mua thêm quyền sở hữu của cổ đông không kiểm soát,-,-,-,(62.781.933.366),-,(62.781.933.366),,,,-62781933366.0,,-62781933366.0
Phát hành cổ phiếu ESOP,Năm trước: > Phát hành cổ phiếu ESOP,Phát hành cổ phiếu ESOP,69.849.980.000,-,-,(69.849.980.000),-,-,69849980000.0,,,-69849980000.0,,
Mua lại cổ phiếu,Năm trước: > Mua lại cổ phiếu,Mua lại cổ phiếu,-,-,(2.153.900.000),-,-,(2.153.900.000),,,-2153900000.0,,,-2153900000.0
Số cuối năm,Năm trước: > Số cuối năm,Số cuối năm,1.468.889.740.000,36.717.698.286,(2.454.294.500),977.630.195.800,1.130.494.084,2.481.913.833.670,1468889740000.0,36717698286.0,-2454294500.0,977630195800.0,1130494084.0,2481913833670.0
Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,,,,,,
Số đầu năm,Năm nay: > Số đầu năm,Số đầu năm,1.468.889.740.000,36.717.698.286,(2.454.294.500),977.630.195.800,1.130.494.084,2.481.913.833.670,1468889740000.0,36717698286.0,-2454294500.0,977630195800.0,1130494084.0,2481913833670.0
Lợi nhuận thuần trong năm,Năm nay: > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,1.577.372.426.339,-,1.577.372.426.339,,,,1577372426339.0,,1577372426339.0
Chia cổ tức (*),Năm nay: > Chia cổ tức (*),Chia cổ tức (*),,,-,(219.929.263.800),-,(219.929.263.800),,,,-219929263800.0,,-219929263800.0
Phát hành cổ phiếu ESOP (**),Năm nay: > Phát hành cổ phiếu ESOP (**),Phát hành cổ phiếu ESOP (**),70.619.530.000,-,2.690.430.000,(73.309.960.000),-,-,70619530000.0,,2690430000.0,-73309960000.0,,
Mua lại cổ phiếu,Năm nay: > Mua lại cổ phiếu,Mua lại cổ phiếu,-,-,(315.300.000),-,-,(315.300.000),,,-315300000.0,,,-315300000.0
Số cuối năm,Năm nay: > Số cuối năm,Số cuối năm,1.539.509.270.000,36.717.698.286,(79.164.500),2.261.763.398.339,1.130.494.084,3.839.041.696.209,1539509270000.0,36717698286.0,-79164500.0,2261763398339.0,1130494084.0,3839041696209.0
