row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2022 VND,Ngày 31 tháng 12 năm 2021 VND,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2022 VND,numeric__Ngày 31 tháng 12 năm 2021 VND
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,
Phải thu từ hoạt động đầu tư,Phải thu ngắn hạn của khách hàng > Phải thu từ hoạt động đầu tư,Phải thu từ hoạt động đầu tư,7.1,1.063.428.452.040,776.714.476.660,71.0,1063428452040.0,776714476660.0
Phải thu từ các hoạt động khác,Phải thu ngắn hạn của khách hàng > Phải thu từ các hoạt động khác,Phải thu từ các hoạt động khác,7.2,92.253.410.659,88.375.741.404,72.0,92253410659.0,88375741404.0
,,,,1.155.681.862.699,865.090.218.064,,1155681862699.0,865090218064.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,,,
BVInvest,Trả trước cho người bán ngắn hạn > BVInvest,BVInvest,,196.741.141,9.053.950.000,,196741141.0,9053950000.0
Phải thu người bán ngắn hạn khác,Trả trước cho người bán ngắn hạn > Phải thu người bán ngắn hạn khác,Phải thu người bán ngắn hạn khác,,613.463.559,969.154.980,,613463559.0,969154980.0
,,,,810.204.700,10.023.104.980,,810204700.0,10023104980.0
Phải thu ngắn hạn khác,Trả trước cho người bán ngắn hạn > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,7.3,8.986.402.695,10.063.519.533,73.0,8986402695.0,10063519533.0
TỔNG CỘNG,Trả trước cho người bán ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,1.165.478.470.094,885.176.842.577,,1165478470094.0,885176842577.0
