row_label_raw,row_label_full,col_0,Biến động của chỉ số thị trường,Ảnh hưởng lên lợi nhuận trước thuế của danh mục cổ phiếu niêm yết (*) VND,numeric__Biến động của chỉ số thị trường,numeric__Ảnh hưởng lên lợi nhuận trước thuế của danh mục cổ phiếu niêm yết (*) VND
31 tháng 12 năm 2022,31 tháng 12 năm 2022,31 tháng 12 năm 2022,31 tháng 12 năm 2022,31 tháng 12 năm 2022,,
Kịch bản 1,31 tháng 12 năm 2022 > Kịch bản 1,Kịch bản 1,+10%,-,0.1,
Kịch bản 2,31 tháng 12 năm 2022 > Kịch bản 2,Kịch bản 2,-10%,(190.716.475),-0.1,-190716475.0
31 tháng 12 năm 2021,31 tháng 12 năm 2021,31 tháng 12 năm 2021,31 tháng 12 năm 2021,31 tháng 12 năm 2021,,
Kịch bản 1,31 tháng 12 năm 2021 > Kịch bản 1,Kịch bản 1,+10%,-,0.1,
Kịch bản 2,31 tháng 12 năm 2021 > Kịch bản 2,Kịch bản 2,-10%,-,-0.1,
