row_label_raw,row_label_full,col_0,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 VND
Chi phí hoạt động tài chính,Chi phí hoạt động tài chính,Chi phí hoạt động tài chính,10.643.958.190,(53.524.785.546),10643958190.0,-53524785546.0
- Chi phí/(Hoàn nhập) dự phòng giảm giá đầu tư,- Chi phí/(Hoàn nhập) dự phòng giảm giá đầu tư,- Chi phí/(Hoàn nhập) dự phòng giảm giá đầu tư,9.590.273.595,(54.978.620.830),9590273595.0,-54978620830.0
- Chi phí lãi vay và chi phí tài chính khác,- Chi phí lãi vay và chi phí tài chính khác,- Chi phí lãi vay và chi phí tài chính khác,1.053.684.595,1.453.835.284,1053684595.0,1453835284.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,73.172.536.311,67.515.525.065,73172536311.0,67515525065.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,110.570.696.868,98.390.552.463,110570696868.0,98390552463.0
Chi phí mua ngoài hoạt động CNTT,Chi phí mua ngoài hoạt động CNTT,Chi phí mua ngoài hoạt động CNTT,68.281.044.409,70.715.670.891,68281044409.0,70715670891.0
Tiền thuê đất,Tiền thuê đất,Tiền thuê đất,11.666.714.786,9.732.375.466,11666714786.0,9732375466.0
Chi phí đào tạo,Chi phí đào tạo,Chi phí đào tạo,2.619.166.881,1.473.880.907,2619166881.0,1473880907.0
Chi phí quản lý tòa nhà,Chi phí quản lý tòa nhà,Chi phí quản lý tòa nhà,5.544.617.887,4.494.623.306,5544617887.0,4494623306.0
Chi khác,Chi khác,Chi khác,29.903.394.575,26.012.523.879,29903394575.0,26012523879.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,312.402.129.907,224.810.366.431,312402129907.0,224810366431.0
