row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2022VND,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2021VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2022VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2021VND
Doanh thu từ hoạt động đầu tư tài chính,Doanh thu từ hoạt động đầu tư tài chính,Doanh thu từ hoạt động đầu tư tài chính,1.205.437.143.538,1.154.096.473.050,1205437143538.0,1154096473050.0
- Lãi tiền gửi không kỳ hạn,- Lãi tiền gửi không kỳ hạn,- Lãi tiền gửi không kỳ hạn,754.548.407,150.761.853,754548407.0,150761853.0
- Lãi tiền gửi có kỳ hạn,- Lãi tiền gửi có kỳ hạn,- Lãi tiền gửi có kỳ hạn,164.750.613.772,164.516.561.594,164750613772.0,164516561594.0
- Lãi trái phiếu,- Lãi trái phiếu,- Lãi trái phiếu,63.273.207.257,70.193.905.726,63273207257.0,70193905726.0
- Cổ tức và lợi nhuận được chia,- Cổ tức và lợi nhuận được chia,- Cổ tức và lợi nhuận được chia,922.245.842.406,826.755.373.661,922245842406.0,826755373661.0
- Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,- Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,- Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,8.354.048,-,8354048.0,
- Lãi khác hoạt động đầu tư,- Lãi khác hoạt động đầu tư,- Lãi khác hoạt động đầu tư,54.404.577.648,92.479.870.216,54404577648.0,92479870216.0
Dịch vụ đào tạo,Dịch vụ đào tạo,Dịch vụ đào tạo,2.509.360.732,1.891.720.373,2509360732.0,1891720373.0
Cho thuê văn phòng,Cho thuê văn phòng,Cho thuê văn phòng,84.441.750.694,70.728.526.422,84441750694.0,70728526422.0
Dịch vụ công nghệ thông tin,Dịch vụ công nghệ thông tin,Dịch vụ công nghệ thông tin,271.977.298.583,262.795.817.661,271977298583.0,262795817661.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.564.365.553.547,1.489.512.537.506,1564365553547.0,1489512537506.0
